file_prefix,cutoff_type,cutoff_frequency,PID,propulsive_peakforce_rfd_slope_between_events,propulsive_peakforce_rfd_instantaneous_average_between_events,propulsive_peakforce_rfd_instantaneous_peak_between_events,braking_peakforce_rfd_slope_between_events,braking_peakforce_rfd_instantaneous_average_between_events,braking_peakforce_rfd_instantaneous_peak_between_events,braking_propulsive_rfd_slope_between_events,braking_propulsive_rfd_instantaneous_average_between_events,braking_propulsive_rfd_instantaneous_peak_between_events,braking_net_vertical_impulse,propulsive_net_vertical_impulse,braking_to_propulsive_net_vertical_impulse,total_net_vertical_impulse,peak_force,maximum_force,average_force_of_braking_phase,average_force_of_propulsive_phase,takeoff_velocity,jump_height_takeoff_velocity,jump_height_net_vertical_impulse,movement_time,unweighting_time,braking_time,propulsive_time,lowering_displacement,frame_start_of_unweighting_phase,frame_start_of_breaking_phase,frame_start_of_propulsive_phase,frame_peak_force
F01_CTRL2,trial_cutoff,26,F01,1218.849437936865,1220.0033661745758,3845.556436149869,1132.0175938101215,1132.8585153731012,3845.556436149869,1063.6226480938515,1064.2170233034465,2204.9079546438297,135.18662547864034,93.12772976339647,41.90383427790283,118.35498449163154,1090.7014943065283,1090.7014943065283,643.7468824766121,853.0163768192956,2.3222387059682608,0.2748620085370613,0.27486200853706105,1.0285,0.4,0.292,0.3365,-0.275317876205976,1638,2438,3022,3482
F01_CTRL2,participant_cutoff,27.0,F01,1221.8782047822963,1223.0217782482705,3849.2237240712857,1133.6082189949832,1134.4403673214567,3849.2237240712857,1064.2316376998176,1064.8190186649372,2237.58840143797,134.89171525565106,92.83282309498657,41.90386159239294,118.33481251110193,1090.7246171951863,1090.7246171951863,643.7462956952403,852.9531740324812,2.321844873704347,0.27476878784644015,0.2747687878464396,1.0285,0.4,0.292,0.3365,-0.2753083075574082,1638,2438,3022,3481
F01_CTRL2,group_cutoff,26.648,F01,1219.0681243391248,1220.2308188209136,3848.048223714344,1132.3433881421518,1133.1858181883447,3848.048223714344,1064.0328082609744,1064.6229752243348,2226.1955366088077,135.18694065763708,93.12803977013402,41.90385936277159,118.34154571113598,1090.7113576585505,1090.7113576585505,643.7465218792038,852.9742680149145,2.32197630488918,0.2747998960482574,0.27479989604825755,1.0285,0.4,0.292,0.3365,-0.2753116042045127,1638,2438,3022,3482
F01_CTRL2,literature_cutoff,50,F01,1225.822602098059,1227.0442264383391,3890.0379174968693,1137.101242423422,1137.8797932296352,3890.0379174968693,1067.1625458124345,1067.5918235057345,2615.2054236947442,134.5947945971137,92.53994984714518,41.89987883236472,118.23342861105615,1090.89835616436,1090.89835616436,644.4709565560405,852.6305308357144,2.319876094238819,0.2743030118563077,0.2743030118563083,1.028,0.401,0.2905,0.3365,-0.27522754437786595,1639,2441,3022,3480
F01_CTRL2,no_cutoff,none,F01,1256.3117389380532,1248.5242190265485,7880.736999999965,1149.0521605415863,1148.5256876208898,8229.493000000017,1065.750907216495,1070.8635979381445,8229.493000000017,132.82819896815192,90.76896146724391,41.904570493463964,118.24730332813598,1092.605469,1092.605469,644.225764587629,852.6112598363096,2.320203553975577,0.27438045524367477,0.27438045524367455,1.0195,0.392,0.291,0.3365,-0.2750272405000954,1656,2440,3022,3474
F01_CTRL3,trial_cutoff,30,F01,1368.1589402889838,1370.118988952563,3450.2627236830303,1032.5934582448228,1033.984670402458,3450.2627236830303,761.9075147258402,762.839871445242,3348.105122584151,139.62986019597,97.19655676915008,42.31351447399983,118.24840687646801,1087.7486426398143,1087.7486426398143,633.769245904986,836.7456645190025,2.322522056808862,0.27492908788805637,0.2749290878880565,1.0245,0.3575,0.3155,0.3515,-0.267707738324941,1588,2303,2934,3443
F01_CTRL3,participant_cutoff,27.0,F01,1363.3694713175512,1365.3506220142172,3452.3652213427704,1030.8577752409524,1032.2234974978337,3452.3652213427704,761.5812670077639,762.4485995138845,3296.8519892840413,140.2125136397776,97.7821371700358,42.31064470019166,118.30638881494292,1087.7771478536426,1087.7771478536426,633.7603351311574,836.9100047547793,2.3236595572799135,0.27519845760133965,0.27519845760134026,1.0245,0.3575,0.3155,0.3515,-0.2677140370202285,1588,2303,2934,3445
F01_CTRL3,group_cutoff,26.648,F01,1363.6217899322437,1365.5918721608502,3452.155392098124,1030.9207641816283,1032.276751835992,3452.155392098124,761.4909319176592,762.3496100198233,3288.314899458899,140.21177130357864,97.78180099606442,42.310247313748796,118.31507458394837,1087.8234395279346,1087.8234395279346,633.7590648220801,836.9342908286923,2.3238301804862664,0.27523887399280494,0.2752388739928054,1.0245,0.3575,0.3155,0.3515,-0.267714253317667,1588,2303,2934,3445
F01_CTRL3,literature_cutoff,50,F01,1367.0314997476155,1368.940833410552,3398.9421936313156,1031.4988427883234,1032.9904770432233,3473.3359259209246,760.307630348959,761.4616628636077,3473.3359259209246,139.93308899859443,97.49141282436835,42.32198766949709,118.17780284866944,1087.9219419616293,1087.9219419616293,633.7902968675837,836.5131960935656,2.3211626788996886,0.27460734872154835,0.2746073487215481,1.0245,0.3575,0.3155,0.3515,-0.2676043122370007,1588,2303,2934,3444
F01_CTRL3,no_cutoff,none,F01,1349.3657044145873,1348.0185969289826,7360.108000000007,1026.8183819444446,1026.5324383680554,7360.108000000007,760.4995942947703,761.0898256735343,6834.716000000015,142.87750943267105,100.55381853767003,42.20482240472998,118.1965146181059,1089.749268,1089.749268,633.4095747179081,836.3928543712659,2.3215613971206674,0.2747016982976995,0.2747016982976989,1.023,0.3555,0.3155,0.352,-0.2674680117763949,1591,2302,2933,3454
F01_CTRL4,participant_cutoff,27.0,F01,1391.6846981971175,1392.0713913499956,3138.1172569711925,1174.6267552564423,1176.576030639923,4182.312420945207,1015.057843043688,1018.1558418666439,4182.312420945207,132.86405814397534,86.89138994845148,45.823132631737536,111.30355532217845,1102.717899971639,1102.717899971639,658.1082330184219,847.8436148678506,2.1739587620477723,0.24088158507055468,0.24088158507055396,0.9755,0.358,0.2945,0.323,-0.30664951170342597,1347,2063,2652,3085
F01_CTRL4,trial_cutoff,25,F01,1388.7960963947323,1389.1916165931873,3125.7881811112165,1174.5210064794637,1176.396721529839,4012.2013852430973,1016.9017030502662,1019.8662393984947,4012.2013852430973,133.15836555479882,87.19059730360038,45.81824875118475,111.34421190185303,1102.753251811026,1102.753251811026,657.8254755378816,847.9644676276693,2.1747576352656317,0.2410586530145852,0.241058653014585,0.9755,0.3575,0.295,0.323,-0.306635866166402,1347,2062,2652,3086
F01_CTRL4,no_cutoff,none,F01,1380.6496363636359,1367.5151477272727,7192.993000000017,1169.4832276264588,1170.5100797665368,7556.000000000058,1011.4675476190478,1023.0913214285713,7556.000000000058,134.98606397066405,88.98738476639804,45.848585541334046,111.18339410005402,1104.182983,1104.182983,658.4711467806122,847.4953177209301,2.171576948033062,0.24035404899228272,0.240354048992283,0.974,0.357,0.294,0.323,-0.3067410733094701,1350,2064,2652,3092
F01_CTRL4,literature_cutoff,50,F01,1388.2821816934438,1388.5289418282275,3234.2545990928775,1176.9065184752326,1179.317333260758,5129.4161547393305,1021.2506304250869,1025.2550432782505,5129.4161547393305,132.88316368625496,86.88957414144954,45.84369343663663,111.19369374296157,1102.6788887577175,1102.6788887577175,658.4470859154064,847.5161236609939,2.171796722947359,0.2404027016210442,0.24040270162104407,0.975,0.358,0.294,0.323,-0.3066972051389136,1348,2064,2652,3085
F01_CTRL4,group_cutoff,26.648,F01,1391.698924693113,1392.0817732203493,3135.747762461542,1174.3398768031861,1176.2783877957977,4153.767205395969,1014.5496089995559,1017.6317564055928,4153.767205395969,132.86315310727187,86.8912477856656,45.82237446276681,111.3098817753299,1102.7113176702442,1102.7113176702442,658.1055774341963,847.8623133185345,2.174083161193536,0.24090915350587552,0.24090915350587533,0.9755,0.358,0.2945,0.323,-0.306647161380172,1347,2063,2652,3085
F01_CTRL5,trial_cutoff,25,F01,1376.8350644655998,1377.446601031532,3326.29683912755,1080.7339082213273,1082.4230645149382,3719.7805874868645,844.8969296101037,847.4443823855362,3719.7805874868645,135.7113326307732,92.92985335151658,42.64991558048984,115.18381305882144,1103.4737207703288,1103.4737207703288,634.9595309369025,826.6447017864789,2.268751688465046,0.26234629071931687,0.2623462907193171,1.0225,0.359,0.312,0.3515,-0.2707928119564249,1955,2673,3297,3794
F01_CTRL5,literature_cutoff,50,F01,1376.4613196037524,1377.1603143374002,3391.4743264808785,1076.0755759377294,1077.7692401255333,3702.7278761952766,837.9707679600364,840.452870295712,3702.7278761952766,135.70677375400652,92.93234403339595,42.6429956428656,115.05843418284292,1103.15173051409,1103.15173051409,634.285785503728,826.3092472004727,2.2662680808772615,0.26177222295632546,0.26177222295632513,1.022,0.357,0.3135,0.3515,-0.270861564780851,1956,2670,3297,3794
F01_CTRL5,no_cutoff,none,F01,1404.7287018255574,1393.3549918864096,6318.969999999972,1086.7517555753789,1085.9889794826047,6318.969999999972,837.1297261146498,844.6968710191082,5970.337000000058,134.49274598512,91.721253254392,42.640154622527014,115.0498155847989,1106.208252,1106.208252,634.0625091687897,826.300661522792,2.2660840797513284,0.26172971745680046,0.26172971745680035,1.0145,0.349,0.314,0.3515,-0.2709174122537853,1971,2669,3297,3790
F01_CTRL5,group_cutoff,26.648,F01,1378.9626993360448,1379.556984996378,3321.3410874276888,1079.589869514491,1081.274268812957,3719.047133952379,841.6268509383842,844.1777508210065,3719.047133952379,135.4112656574983,92.62817330258697,42.651517865195714,115.15212612931599,1103.334767784666,1103.334767784666,634.9653650906295,826.5534597898287,2.2681282565338776,0.2622021298719372,0.262202129871938,1.0225,0.359,0.312,0.3515,-0.27079090491600594,1955,2673,3297,3793
F01_CTRL5,participant_cutoff,27.0,F01,1378.8970391461926,1379.4962097397354,3320.550656000967,1079.2059412691362,1080.8915426114359,3716.2736987128737,840.9899403925023,843.5391148940693,3716.2736987128737,135.41165226827079,92.62837925913692,42.6516956948652,115.14640122569224,1103.3242937513414,1103.3242937513414,634.9660828256347,826.5370426087828,2.2680155876691055,0.2621760808312965,0.2621760808312966,1.0225,0.359,0.312,0.3515,-0.27079071902862156,1955,2673,3297,3793
F02_CTRL1,trial_cutoff,26,F02,6462.527872016536,6476.308150128512,10851.497262243647,3768.7511740218274,3772.7321779105005,10851.497262243647,1752.0986733372642,1748.7436085451031,7541.346513419994,153.56770890301885,117.83573479442973,35.57323268582204,182.43065256192477,1927.7990773467502,1927.7990773467502,917.8666397466864,1462.6437314801824,2.4751396349561023,0.3122485327487578,0.3122485327487578,1.068,0.6375,0.183,0.2475,-0.1653089867996846,1445,2720,3086,3360
F02_CTRL1,participant_cutoff,26.6,F02,6462.2497722262615,6476.02947964569,10859.300856224727,3768.8531535415746,3772.8244333924,10859.300856224727,1752.485193105498,1749.1135517710834,7538.134947135928,153.56751549598272,117.83581608040362,35.5729210819589,182.4129359994743,1927.8340112826386,1927.8340112826386,917.8651801537068,1462.5726332010995,2.4748987916836276,0.31218776906611007,0.31218776906611007,1.068,0.6375,0.183,0.2475,-0.165309460350907,1445,2720,3086,3360
F02_CTRL1,group_cutoff,26.648,F02,6462.232881515421,6476.012334457311,10859.930682858685,3768.865782348684,3772.836190414534,10859.930682858685,1752.5199212238597,1749.1469459672096,7537.846176345483,153.56749568172643,117.83581894231303,35.57289549871807,182.41160096748771,1927.8374398542271,1927.8374398542271,917.8650577581185,1462.5672664166493,2.474880643641864,0.31218319063573735,0.3121831906357368,1.068,0.6375,0.183,0.2475,-0.16530948980384058,1445,2720,3086,3360
F02_CTRL1,literature_cutoff,50,F02,6463.423154682137,6476.933049082779,10865.435135072563,3773.744978362371,3777.3760977180314,10865.435135072563,1754.6441007963003,1750.859372583947,7374.6545782266185,153.55626721859517,117.83237189798858,35.56510022189188,182.23771196885113,1927.9952596939106,1927.9952596939106,918.3632760235182,1461.8932597484984,2.472499365734368,0.31158272750034927,0.3115827275003488,1.0675,0.6375,0.1825,0.2475,-0.1653870244375016,1446,2721,3086,3360
F02_CTRL1,no_cutoff,none,F02,6481.244832116787,6482.430784671532,14729.857999999775,3782.891253918495,3781.521598746081,14729.857999999775,1751.7130109890113,1748.4196291208793,9485.47399999993,153.55059355566794,117.82817483507199,35.563577506581986,182.19849012062005,1930.166016,1930.166016,918.9067921565934,1461.820058866397,2.4719223410865516,0.3114373119450978,0.3114373119450982,1.05,0.6205,0.182,0.2475,-0.16556977306204643,1481,2722,3086,3360
