acceleration,velocity,displacement
-0.006150078618312612,0.0,0.0
-0.006494613848746401,-3.1611731167647532e-06,-7.902932791911883e-10
-0.006836657400440908,-6.493990929061581e-06,-3.2040842906477716e-09
-0.007173739840607605,-9.996590239323709e-06,-7.326729582744094e-09
-0.007503436335575483,-1.366588428336948e-05,-1.3242348213417391e-08
-0.007823389105097599,-1.749759064353775e-05,-2.10332169451442e-08
-0.008131329788043493,-2.1486270366823023e-05,-3.0779182197734394e-08
-0.008425101333219154,-2.5625378147138686e-05,-4.255709432622482e-08
-0.008702678877334013,-2.9907323199776976e-05,-5.644026966295374e-08
-0.008962189006460968,-3.4323540170725725e-05,-7.249798550557941e-08
-0.009201926827142732,-3.886456912912665e-05,-9.07950128305425e-08
-0.009420370380477687,-4.352014343103176e-05,-1.1139119097058211e-07
-0.00961619207544699,-4.827928404501292e-05,-1.3434104783959328e-07
-0.009788266956764071,-5.3130398803065686e-05,-1.5969346855161293e-07
-0.009935677760068333,-5.806138498227379e-05,-1.874914144979478e-07
-0.010057716858641734,-6.30597336369513e-05,-2.1777169415275406e-07
-0.010153885334824834,-6.811263418531794e-05,-2.5056478610832136e-07
-0.010223889466310998,-7.320707788560189e-05,-2.8589471412605134e-07
-0.01026763492626596,-7.832995898374613e-05,-3.2377897334338836e-07
-0.01028521902943464,-8.346817247267128e-05,-3.642285062074927e-07
-0.010276921439215653,-8.860870758983386e-05,-4.0724772622311897e-07
-0.010243193835435942,-9.373873640849675e-05,-4.528345872227016e-07
-0.010184649067058934,-9.884569713412047e-05,-5.009806956083559e-07
-0.01010205025916967,-0.00010391737196567762,-5.516714628833054e-07
-0.009996300238043754,-0.00010894195958998097,-6.048862957722201e-07
-0.00986843151758759,-0.0001139081425288888,-6.605988213019375e-07
-0.00971959696800171,-0.00011880514965028613,-7.187771443467312e-07
-0.009551061173587084,-0.00012362281418568333,-7.793841353057236e-07
-0.009364192405217844,-0.00012835162758038457,-8.423777457472405e-07
-0.009160455089129695,-0.00013298278945397146,-9.077113500058296e-07
-0.008941402614688065,-0.0001375082538799259,-9.753341108393038e-07
-0.008708670264400576,-0.00014192077209969806,-1.0451913673342099e-06
-0.008463967998786848,-0.0001462139316654949,-1.117225043275508e-06
-0.008209072842738753,-0.0001503821918758763,-1.1913740741608508e-06
-0.007945820704218346,-0.0001544209152626156,-1.2675748509454738e-06
-0.00767609754569726,-0.0001583263948250945,-1.3457616784674013e-06
-0.007401829857980915,-0.00016209587667601405,-1.4258672463426784e-06
-0.007124974357489324,-0.0001657275777298816,-1.5078231099441523e-06
-0.006847506799074417,-0.00016922069801902253,-1.5915601788813783e-06
-0.006571409816926393,-0.00017257542717302274,-1.6770092101793897e-06
-0.006298659780925849,-0.0001757929445724858,-1.7641013031157669e-06
-0.006031212755727654,-0.00017887541270664918,-1.8527683924355507e-06
-0.005770989737082696,-0.00018182596332985178,-1.942943736444676e-06
-0.005519861385530974,-0.00018464867611050519,-2.0345623963047654e-06
-0.0052796324798888815,-0.00018734854957686014,-2.127561702726607e-06
-0.005052026295639026,-0.0001899314642707421,-2.2218817061885074e-06
-0.004838669097658179,-0.00019240413811906642,-2.3174656067859596e-06
-0.004641074932800381,-0.00019477407412668105,-2.4142601598473962e-06
-0.004460630924043982,-0.00019704950059089215,-2.5122160535267897e-06
-0.004298583307705613,-0.00019923930414882956,-2.61128825471172e-06
-0.004156024521447883,-0.00020135295610611794,-2.711436319775457e-06
-0.004033881739090888,-0.00020340043267125262,-2.8126246669697997e-06
-0.0039329073153207056,-0.00020539212993485553,-2.914822807621327e-06
-0.0038536715828433824,-0.00020733877465939655,-3.01800553376989e-06
-0.0037965583106285145,-0.00020925133213276452,-3.12215306046793e-06
-0.003761762915080494,-0.00021114091243919176,-3.227251121610919e-06
-0.003749293265129993,-0.0002130186764842444,-3.333291018841778e-06
-0.0037589726937987842,-0.00021489574297397658,-3.4402696237063335e-06
-0.0037904446912424565,-0.0002167830973202369,-3.548189333779887e-06
-0.003843178746339633,-0.00021869150317963243,-3.6570579839048542e-06
-0.003916476885532581,-0.00022063141708760048,-3.7668887139716623e-06
-0.00400948055630986,-0.0002226129064480611,-3.877699794855578e-06
-0.004121177605474983,-0.0002246455709885073,-3.98951441421472e-06
-0.004250409246747568,-0.00022673846770156295,-4.102360423887237e-06
