frame_number,force
0,542.9520265467044
1,542.9651601143233
2,542.9785703425414
3,542.9922738505469
4,543.0062876512891
5,543.0206291304909
6,543.0353160225903
7,543.0503663810945
8,543.0657985408697
9,543.0816310700432
10,543.0978827095847
11,543.1145722992549
12,543.1317186892653
13,543.1493406376676
14,543.167456694443
15,543.1860850747335
16,543.2052435253717
17,543.2249491901053
18,543.2452184789853
19,543.2660669461395
20,543.2875091780792
21,543.3095586926081
22,543.3322278470688
23,543.3555277543232
24,543.3794682052423
25,543.4040575970816
26,543.4293028676811
27,543.4552094358635
28,543.48178114871
29,543.5090202365114
30,543.5369272761077
31,543.5655011631935
32,543.594739094289
33,543.624636559498
34,543.6551873475548
35,543.6863835646155
36,543.7182156677954
37,543.7506725138194
38,543.7837414224157
39,543.8174082533102
40,543.8516574949313
41,543.8864723623004
42,543.9218349010356
43,543.957726094013
44,543.9941259672388
45,544.0310136921233
46,544.0683676825633
47,544.1061656865986
48,544.1443848734713
49,544.1830019175268
50,544.2219930806626
51,544.2613342951068
52,544.3010012483845
53,544.3409694723579
54,544.3812144380269
55,544.4217116573068
56,544.4624367924692
57,544.5033657734282
58,544.5444749224889
59,544.5857410855024
60,544.627141767645
61,544.6686552713774
62,544.7102608336498
63,544.7519387591022
64,544.7936705456387
65,544.8354389981824
66,544.877228325761
67,544.9190242167862
68,544.9608138878885
69,545.0025861030416
70,545.0443311615218
71,545.0860408549185
72,545.1277083945624
73,545.1693283114614
74,545.2108963314714
75,545.2524092292225
76,545.2938646650169
77,545.335261008989
78,545.3765971560769
79,545.4178723343362
80,545.459085908664
81,545.500237182381
82,545.5413251999239
83,545.5823485545008
84,545.6233052047119
85,545.6641923038843
86,545.7050060453793
87,545.745741526535
88,545.7863926333025
89,545.8269519470282
90,545.8674106741958
91,545.9077585993155
92,545.9479840607394
93,545.9880739490952
94,546.0280137280155
95,546.0677874766078
96,546.1073779527815
97,546.1467666764787
98,546.1859340320941
99,546.2248593895478
100,546.2635212432867
101,546.3018973679406
102,546.3399649886097
103,546.3777009629379
104,546.4150819713002
105,546.4520847109872
106,546.4886860906902
107,546.524863422933
108,546.5605946135896
109,546.5958583482778
110,546.6306342748745
111,546.6649031803798
112,546.6986471599542
113,546.7318497765713
114,546.7644962107523
115,546.7965734003759
116,546.8280701703106
117,546.8589773511517
118,546.8892878862956
119,546.9189969271396
120,546.9481019169871
121,546.9766026648409
122,547.0045014103837
123,547.0318028811259
124,547.0585143422028
125,547.084645638818
126,547.110209230921
127,547.1352202193602
128,547.1596963623849
129,547.1836580806436
130,547.207128447652
131,547.2301331616078
132,547.2527004941625
133,547.274861212422
134,547.2966484713678
135,547.3180976745466
136,547.3392463013224
137,547.3601336995401
138,547.3808008432277
139,547.4012900559158
140,547.4216447011859
141,547.4419088430069
142,547.4621268792188
143,547.4823431522992
144,547.502601542282
145,547.5229450471345
146,547.5434153559387
147,547.5640524200538
148,547.584894027181
149,547.6059753828924
150,547.6273287038374
151,547.6489828267137
152,547.6709628372496
153,547.6932897238398
154,547.7159800611809
155,547.7390457302705
156,547.7624936820697
157,547.7863257522147
158,547.8105385329964
159,547.8351233065927
160,547.860066040871
161,547.8853474466322
162,547.9109430935434
163,547.9368235813903
164,547.9629547632529
165,547.9892980171318
166,548.0158105621678
167,548.0424458150552
168,548.0691537816908
169,548.0958814786195
170,548.1225733785782
171,548.1491718744941
172,548.1756177565934
173,548.201850697635
174,548.2278097415747
175,548.2534337909815
176,548.2786620880984
177,548.3034346836687
178,548.3276928871053
179,548.3513796918814
180,548.3744401712951
181,548.3968218415102
182,548.4184749903349
183,548.4393529711199
184,548.4594124615464
185,548.478613687237
186,548.4969206102161
187,548.5143010821289
188,548.5307269618014
189,548.5461741964425
190,548.560622865923
191,548.5740571902932
192,548.5864655019126
193,548.5978401848231
194,548.6081775847524
195,548.6174778932656
196,548.6257450094007
197,548.6329863820155
198,548.6392128359981
199,548.6444383852762
200,548.64868003517
201,548.6519575762312
202,548.6542933713076
203,548.6557121370522
204,548.6562407204092
205,548.6559078699277
206,548.654744001411
207,548.6527809576102
208,548.6500517624492
209,548.646590371444
210,548.6424314211623
211,548.6376099814499
212,548.6321613145611
213,548.6261206453185
214,548.6195229461398
215,548.6124027403756
216,548.6047939268739
217,548.5967296278786
218,548.5882420614329
219,548.5793624388034
220,548.5701208871326
221,548.5605463970201
222,548.5506667936643
223,548.5405087288227
224,548.5300976897905
225,548.5194580211753
226,548.5086129553599
227,548.4975846480578
228,548.4863942162816
229,548.4750617772163
230,548.4636064873379
231,548.4520465812159
232,548.440399408985
233,548.4286814710418
234,548.4169084485005
235,548.4050952283842
236,548.393255923274
237,548.3814038857429
238,548.3695517179309
239,548.3577112760875
240,548.3458936694036
241,548.3341092524907
242,548.3223676113229
243,548.3106775428118
244,548.2990470281247
245,548.2874831996423
246,548.2759923015333
247,548.2645796443501
248,548.2532495545306
249,548.2420053199488
250,548.2308491328672
251,548.2197820320596
252,548.2088038463786
253,548.1979131422215
254,548.1871071770008
255,548.1763818600053
256,548.1657317211891
257,548.1551498877233
258,548.1446280679278
259,548.1341565425585
260,548.1237241639427
261,548.1133183636512
262,548.1029251693577
263,548.0925292317403
264,548.0821138627384
265,548.071661086723
266,548.0611517057796
267,548.0505653795046
268,548.0398807188828
269,548.0290753932481
270,548.0181262488778
271,548.0070094371354
272,547.9957005492736
273,547.9841747544115
274,547.972406937134
275,547.9603718316438
276,547.9480441502706
277,547.9353987051928
278,547.9224105230271
279,547.909054952108
280,547.895307761853
281,547.8811452330237
282,547.8665442373685
283,547.8514823052702
284,547.8359376806491
285,547.8198893633505
286,547.8033171404413
287,547.7862016092614
288,547.7685241966102
289,547.7502671796119
290,547.7314137140557
291,547.7119478752973
