frame_number,force
0,544.932007
1,543.890686
2,546.164185
3,543.52771
4,547.229309
5,545.829895
6,543.370117
7,545.638916
8,547.754639
9,544.932007
10,544.941528
11,542.47699
12,544.583313
13,544.430481
14,546.694336
15,546.517578
16,547.573242
17,546.522461
18,544.420898
19,547.033508
20,545.815613
21,546.699219
22,546.699219
23,544.578491
24,545.118225
25,547.047791
26,547.917114
27,546.164185
28,544.253723
29,545.99231
30,544.946289
31,546.522461
32,544.607178
33,544.416077
34,544.583313
35,545.982666
36,545.113403
37,546.345703
38,545.122986
39,543.90033
40,548.28009
41,545.471619
42,545.643616
43,544.941528
44,547.577881
45,546.169006
46,545.108704
47,547.759521
48,545.290222
49,545.122986
50,544.941528
51,543.718811
52,547.931396
53,544.76001
54,546.169006
55,543.546936
56,546.355225
57,544.950989
58,546.527222
59,543.52771
60,544.249023
61,546.522461
62,547.391724
63,547.754639
64,545.466919
65,545.127808
66,546.684937
67,546.880615
68,544.941528
69,546.885376
70,547.396484
71,545.466919
72,546.689575
73,546.703918
74,545.810669
75,544.769592
76,545.815613
77,544.774292
78,547.921936
79,546.006592
80,547.229309
81,546.699219
82,544.253723
83,545.471619
84,544.234619
85,548.27533
86,544.955872
87,547.224487
88,545.987549
89,546.861633
90,547.745178
91,544.234619
92,549.497986
93,548.270508
94,546.154724
95,546.336182
96,547.735596
97,547.577881
98,545.299683
99,546.875916
100,547.057312
101,547.396484
102,547.735596
103,548.628784
104,546.708618
105,544.941528
106,546.159424
107,548.103271
108,547.921936
109,547.568481
110,545.643616
111,545.113403
112,545.294922
113,545.681763
114,547.406006
115,548.437683
116,549.144592
117,545.982666
118,545.648315
119,547.057312
120,546.517578
121,544.950989
122,547.917114
123,547.215027
124,546.173767
125,544.416077
126,546.694336
127,546.527222
128,547.052612
129,546.512939
130,546.522461
131,549.144592
132,547.917114
133,546.169006
134,547.210205
135,546.694336
136,547.224487
137,545.825073
138,547.926636
139,544.225098
140,546.866333
141,547.568481
142,545.643616
143,547.386902
144,547.759521
145,546.340942
146,545.978027
147,546.154724
148,547.391724
149,547.573242
150,544.225098
151,543.885986
152,545.997009
153,549.316528
154,547.573242
155,545.643616
156,547.907593
157,545.481201
158,548.108093
159,546.508118
160,547.740295
161,546.527222
162,549.139771
163,546.880615
164,548.256226
165,549.669922
166,549.669922
167,546.345703
168,545.466919
169,545.648315
170,546.699219
171,547.563599
172,547.759521
173,546.178528
174,548.270508
175,547.921936
176,547.749878
177,546.684937
178,545.648315
179,545.271118
180,549.311768
181,543.699707
182,545.118225
183,545.997009
184,548.103271
185,547.573242
186,546.856689
187,547.23407
188,546.512939
189,546.517578
190,546.522461
191,547.568481
192,547.047791
193,547.219788
194,545.820313
195,544.229797
196,546.684937
197,546.512939
198,546.512939
199,547.396484
200,544.769592
201,546.340942
202,545.629272
203,546.164185
204,544.234619
205,546.350464
206,547.931396
207,546.498596
208,547.215027
209,546.84729
210,548.09375
211,545.643616
212,545.820313
213,546.694336
214,545.2854
215,547.745178
216,548.447205
217,546.866333
218,546.508118
219,546.512939
220,544.936707
221,547.03833
222,545.80603
223,546.684937
224,545.103882
225,548.270508
226,545.28064
227,545.108704
228,546.178528
229,544.932007
230,546.699219
231,547.577881
232,546.164185
233,546.336182
234,543.016724
235,546.164185
236,545.103882
237,545.820313
238,545.294922
239,545.462097
240,545.815613
241,543.871704
242,547.391724
243,545.801331
244,545.113403
245,545.987549
246,543.00708
247,545.982666
248,547.735596
249,544.597595
250,545.820313
251,546.336182
252,545.118225
253,546.331421
254,544.76001
255,543.876404
256,543.695007
257,544.769592
258,544.750366
259,544.401794
260,545.80603
261,545.634033
262,543.713989
263,546.159424
264,544.76001
265,543.52301
266,546.689575
267,545.80603
268,544.922363
269,543.704407
270,543.890686
271,548.423279
272,545.801331
273,543.699707
274,542.66333
275,544.927124
276,545.987549
277,545.103882
278,544.588013
279,545.810669
280,542.825684
281,542.99762
282,543.360596
283,546.517578
284,544.927124
285,544.75531
286,543.00238
287,545.447815
288,546.159424
289,546.154724
290,544.220337
291,544.764709
292,544.750366
293,541.593384
294,545.462097
295,544.741028
296,543.885986
297,545.275757
298,546.512939
299,546.336182
300,546.861633
301,545.2854
302,543.537292
303,547.023987
304,544.048401
305,545.982666
306,544.57373
307,542.481812
308,546.164185
309,545.973083
310,543.52301
311,545.810669
312,543.881104
313,543.537292
314,545.099121
315,544.578491
316,542.835205
317,545.963684
318,543.164795
319,545.2854
320,545.801331
321,544.043579
322,546.154724
323,545.447815
324,543.169495
325,541.956421
326,545.791687
327,544.401794
328,543.346313
329,543.881104
330,546.326599
331,541.951721
332,546.326599
333,544.229797
334,544.917725
335,545.782104
336,546.321777
337,542.978516
338,546.317078
339,542.983215
340,545.629272
341,545.629272
342,544.726624
343,545.271118
344,544.220337
345,544.053101
346,545.624512
347,542.796997
348,544.583313
349,544.745728
350,545.103882
351,543.699707
352,546.326599
353,544.745728
354,545.791687
355,542.811401
356,542.648987
357,544.745728
358,544.396973
359,545.462097
360,544.741028
361,542.300293
362,544.559387
363,545.968384
364,544.038818
365,544.053101
366,545.466919
367,546.508118
368,546.675293
369,548.595337
370,542.99762
371,544.043579
372,544.908081
373,544.038818
374,544.912781
375,543.862061
376,544.898499
377,544.549927
378,546.675293
379,543.866821
380,547.358276
381,544.745728
382,545.275757
383,545.275757
384,542.285889
385,544.564209
386,545.438293
387,544.416077
388,544.922363
389,543.341492
390,544.927124
391,544.564209
392,542.644104
393,545.275757
394,544.588013
395,546.321777
396,546.679993
397,546.312317
398,543.164795
399,547.195923
400,543.695007
401,548.074707
402,545.624512
403,543.876404
404,542.811401
405,543.532471
406,544.917725
407,547.023987
408,545.447815
409,542.820801
410,545.0896
411,545.266296
412,544.043579
413,545.099121
414,545.094421
415,545.978027
416,545.801331
417,547.726013
418,542.639404
419,544.392334
420,545.266296
421,543.346313
422,546.331421
423,546.326599
424,542.825684
425,544.564209
426,546.326599
427,545.978027
428,546.326599
429,545.080078
430,545.801331
431,546.684937
432,544.043579
433,544.922363
434,545.963684
435,546.149902
436,545.457275
437,544.912781
438,542.99762
439,544.215454
440,545.629272
441,547.195923
442,545.801331
443,544.731384
444,545.290222
445,547.367798
446,545.973083
447,547.730896
448,545.973083
449,544.932007
450,547.726013
451,547.89801
452,546.675293
453,545.80603
454,546.694336
455,545.457275
456,547.37738
457,548.09375
458,545.968384
459,546.326599
460,547.549316
461,543.351013
462,546.00177
463,547.386902
464,544.932007
465,544.76001
466,545.982666
467,547.907593
468,546.85199
469,547.382202
470,546.85199
471,546.493774
472,547.549316
473,545.624512
474,546.336182
475,546.675293
476,545.624512
477,548.423279
478,547.721313
479,546.331421
480,546.326599
481,547.563599
482,546.312317
483,547.907593
484,546.508118
485,546.321777
486,545.271118
487,545.791687
488,547.554077
489,543.518188
490,543.513428
491,545.442993
492,547.554077
493,547.03833
494,545.978027
495,546.517578
496,547.558899
497,547.37262
498,548.09375
499,546.336182
500,547.042969
501,547.033508
502,547.205383
503,546.866333
504,545.801331
505,548.437683
506,545.118225
507,544.583313
508,547.554077
509,544.564209
510,545.466919
511,545.978027
512,545.80603
513,546.317078
514,544.927124
515,546.508118
516,547.042969
517,547.210205
518,545.452637
519,546.326599
520,545.103882
521,545.442993
522,547.730896
523,547.210205
524,546.512939
525,547.558899
526,548.08429
527,546.689575
528,546.340942
529,544.76001
530,546.512939
531,547.740295
532,545.462097
533,546.866333
534,546.689575
535,548.437683
536,546.699219
537,547.912292
538,546.512939
539,548.437683
540,547.931396
541,545.634033
542,549.6604
543,543.370117
544,545.624512
545,547.921936
546,545.108704
547,544.229797
548,547.577881
549,544.592896
550,544.941528
551,547.229309
552,545.80603
553,547.028687
554,544.936707
555,545.108704
556,546.164185
557,544.215454
558,548.604919
559,547.052612
560,546.164185
561,545.815613
562,545.997009
563,546.159424
564,547.200684
565,546.856689
566,546.164185
567,547.200684
568,546.169006
569,546.178528
570,546.164185
571,547.386902
572,543.881104
573,544.220337
574,546.517578
575,543.876404
576,546.527222
577,544.941528
578,549.65564
579,545.973083
580,545.810669
581,544.946289
582,545.462097
583,545.801331
584,547.03833
585,546.149902
586,544.416077
587,544.936707
588,545.624512
589,543.360596
590,545.634033
591,547.544617
592,543.881104
593,545.810669
594,544.583313
595,545.457275
596,544.932007
597,544.750366
598,544.578491
599,549.302246
600,547.917114
601,545.810669
602,544.602417
603,547.549316
604,546.159424
605,544.769592
606,545.997009
607,545.447815
608,546.861633
609,547.019104
610,547.726013
611,544.75531
612,546.512939
613,545.634033
614,546.154724
615,546.675293
616,543.341492
617,545.978027
618,544.927124
619,544.396973
620,545.80603
621,545.801331
622,543.518188
623,546.149902
624,547.033508
625,543.699707
626,545.113403
627,545.103882
628,545.108704
629,545.108704
630,543.70929
631,546.866333
632,547.382202
633,544.57373
634,546.512939
635,543.164795
636,545.28064
637,545.084778
638,547.554077
639,546.345703
640,544.57373
641,542.825684
642,546.321777
643,544.583313
644,545.634033
645,547.03833
646,548.623901
647,548.074707
648,544.387512
649,547.019104
650,545.629272
651,543.52301
652,546.331421
653,546.66571
654,545.978027
655,545.978027
656,546.145081
657,544.578491
658,546.493774
659,547.386902
660,544.583313
661,544.56897
662,547.023987
663,544.57373
664,545.442993
665,545.271118
666,543.365417
667,543.542114
668,547.215027
669,544.229797
670,545.113403
671,545.634033
672,546.154724
673,545.122986
674,546.164185
675,545.99231
676,546.169006
677,545.796387
678,542.840027
679,545.978027
680,546.336182
681,547.544617
682,544.067383
683,545.442993
684,545.447815
685,546.694336
686,544.57373
687,544.401794
688,546.684937
689,545.094421
690,546.326599
691,544.392334
692,543.699707
693,543.183777
694,543.365417
695,542.104492
696,545.624512
697,544.578491
698,545.968384
699,545.113403
700,545.2854
701,545.796387
702,545.099121
703,545.624512
704,544.922363
705,541.43103
706,544.234619
707,546.159424
708,545.113403
709,543.351013
710,545.624512
711,545.447815
712,545.80603
713,547.033508
714,544.745728
715,544.76001
716,544.053101
717,546.684937
718,545.452637
719,543.532471
720,544.067383
721,542.653687
722,544.57373
723,546.842407
724,543.713989
725,544.932007
726,545.810669
727,544.229797
728,545.810669
729,545.447815
730,542.128418
731,547.386902
732,545.452637
733,544.201233
734,543.331909
735,545.791687
736,542.644104
737,545.275757
738,543.164795
739,542.467407
740,544.917725
741,546.159424
742,545.61969
743,545.987549
744,545.447815
745,543.685425
746,543.33667
747,545.61969
748,543.169495
749,546.159424
750,544.745728
751,546.164185
752,544.062683
753,545.094421
754,543.675781
755,545.629272
756,545.786987
757,543.351013
758,545.2854
759,545.968384
760,545.457275
761,543.881104
762,543.360596
763,545.634033
764,545.108704
765,544.057922
766,546.317078
767,545.452637
768,544.932007
769,544.578491
770,548.251404
771,542.816101
772,544.57373
773,547.195923
774,546.331421
775,544.917725
776,547.205383
777,545.815613
778,546.164185
779,544.406616
780,544.392334
781,545.099121
782,545.61969
783,544.411316
784,545.466919
785,544.396973
786,545.28064
787,545.629272
788,546.164185
789,544.244202
790,545.978027
791,545.103882
792,544.411316
793,544.922363
794,544.764709
795,544.927124
796,544.225098
797,545.61969
798,544.927124
799,545.80603
800,544.048401
801,545.99231
802,545.108704
803,545.61969
804,547.558899
805,544.23938
806,544.932007
807,544.927124
808,545.801331
809,547.554077
810,543.33667
811,543.341492
812,546.331421
813,546.331421
814,545.648315
815,544.75531
816,545.982666
817,544.750366
818,545.968384
819,546.679993
820,545.452637
821,546.85199
822,545.815613
823,544.936707
824,544.76001
825,545.28064
826,549.650879
827,547.89801
828,544.578491
829,544.76001
830,544.932007
831,547.205383
832,547.033508
833,544.927124
834,544.401794
835,546.856689
836,545.968384
837,545.113403
838,545.643616
839,546.694336
840,544.750366
841,545.447815
842,544.578491
843,545.266296
844,548.08429
845,544.927124
846,544.048401
847,545.2854
848,545.113403
849,545.978027
850,546.517578
851,546.331421
852,545.80603
853,545.103882
854,546.498596
855,547.023987
856,547.740295
857,547.215027
858,546.85199
859,546.340942
860,545.634033
861,546.317078
862,547.028687
863,545.462097
864,546.684937
865,547.549316
866,544.406616
867,546.871094
868,546.684937
869,544.053101
870,547.03833
871,546.866333
872,545.294922
873,546.164185
874,545.118225
875,545.2854
876,546.164185
877,546.512939
878,545.978027
879,543.890686
880,547.033508
881,546.85199
882,545.815613
883,547.033508
884,548.609619
885,549.311768
886,547.215027
887,546.694336
888,547.759521
889,544.783936
890,547.219788
891,547.052612
892,547.219788
893,546.169006
894,547.931396
895,547.730896
896,548.791199
897,547.224487
898,546.871094
899,545.820313
900,548.452026
901,547.721313
902,548.967896
903,547.558899
904,548.103271
905,549.130188
906,548.447205
907,546.522461
908,546.006592
909,549.669922
910,548.28009
911,547.047791
912,545.997009
913,548.805481
914,548.27533
915,548.800598
916,547.229309
917,548.27533
918,550.03772
919,548.447205
920,546.503296
921,548.270508
922,546.546326
923,548.103271
924,547.229309
925,547.764221
926,546.536804
927,549.507507
928,547.224487
929,547.955322
930,549.163696
931,547.759521
932,549.163696
933,548.466431
934,548.628784
