acceleration,velocity,displacement
-0.012701515321908536,0.0,0.0
-0.012561827097184508,-6.315835604773262e-06,-1.5789589011933155e-09
-0.012422957491242144,-1.2562031751879925e-05,-6.298425740356612e-09
-0.012286354727505083,-1.873935980656673e-05,-1.4123773629968276e-08
-0.012153407738735175,-2.4849300423126797e-05,-2.5020938687391658e-08
-0.012025440737260489,-3.089401254212571e-05,-3.8956766928704785e-08
-0.01190370834535033,-3.6876299812778415e-05,-5.589934501743082e-08
-0.011789391177135511,-4.279957469339988e-05,-7.581831364397539e-08
-0.011683591798236167,-4.8667820437242795e-05,-9.868516242663606e-08
-0.011587331025473636,-5.4485551143170244e-05,-1.2447350532173934e-07
-0.011501544547358971,-6.0257770036378394e-05,-1.5315933561662649e-07
-0.011427079854166059,-6.598992613675966e-05,-1.84721259659911e-07
-0.011364693484449205,-7.168786947141347e-05,-2.1914070856195428e-07
-0.011315048626380352,-7.735780499912085e-05,-2.5640212717958785e-07
-0.011278713141996096,-8.300624544121497e-05,-2.964931397896718e-07
-0.011256158094996728,-8.863996325046317e-05,-3.3940469196259133e-07
-0.011247756854910845,-9.426594198794006e-05,-3.8513116827219214e-07
-0.011253784825738458,-9.989132740810239e-05,-4.3367048562120274e-07
-0.011274419808898373,-0.0001055233785667616,-4.850241621149188e-07
-0.011309742961864948,-0.00011116941925945242,-5.391973615714723e-07
-0.011359740266352319,-0.00011683679006650674,-5.961989139029621e-07
-0.011424304390019154,-0.00012253280123059962,-6.560413117272386e-07
-0.011503236821930931,-0.00012826468653358715,-7.187406836682854e-07
-0.011596250176412295,-0.00013403955828317294,-7.843167448724754e-07
-0.011702970580913137,-0.0001398643634725043,-8.527927253113947e-07
-0.011822940091783026,-0.00014574584114067834,-9.241952764646904e-07
-0.011955619123285932,-0.00015169048094444557,-9.985543569859714e-07
-0.012100388924752452,-0.00015770448295645518,-1.0759030979611965e-06
-0.012256554183045991,-0.0001637937187334048,-1.1562776483836615e-06
-0.012423345849258177,-0.00016996369374148085,-1.239717001502383e-06
-0.012599924285404586,-0.00017621951127514654,-1.3262628027565398e-06
-0.012785382806822473,-0.0001825658380482033,-1.4159591400873773e-06
-0.012978751671681204,-0.00018900687166782922,-1.5088523175163854e-06
