acceleration,velocity,displacement
-0.04304726429898389,0.0,0.0
-0.042820870264190146,-2.146703364079351e-05,-5.366758410198378e-09
-0.04256305368880435,-4.281301462904213e-05,-2.1436770477657286e-08
-0.042274194578390246,-6.402232669584078e-05,-4.8145605808878014e-08
-0.04195470540866122,-8.507955169260365e-05,-8.542107540598913e-08
-0.04160502996657478,-0.00010596948553641264,-1.331833347132432e-07
-0.04122564212370538,-0.00012667715355898268,-1.9134499448709204e-07
-0.04081704458531434,-0.0001471878252362376,-2.598112391858971e-07
-0.04037976766149176,-0.00016748702829793912,-3.384799525694413e-07
-0.03991436810163538,-0.0001875605622387209,-4.272418502036063e-07
-0.03942142802614673,-0.00020739451127066644,-5.259806185809531e-07
-0.03890155398261454,-0.00022697525677285675,-6.345730605918339e-07
-0.03835537615002027,-0.0002462894893060154,-7.52889247111552e-07
-0.03778354771454456,-0.00026532422027215663,-8.80792674506095e-07
-0.03718674444135695,-0.000284066793311132,-1.0181404279019171e-06
-0.03656566446364597,-0.00030250489553738274,-1.1647833501140458e-06
-0.035921028301005485,-0.0003206265687285456,-1.3205662161805279e-06
-0.035253579104845265,-0.0003384202205800083,-1.4853279135076664e-06
-0.034564083112347495,-0.0003558746361343065,-1.6589016276862451e-06
-0.03385333027821213,-0.0003729789894819464,-1.8411150340903083e-06
-0.03312213504826701,-0.0003897228558135662,-2.0317904954141865e-06
-0.032371337237792584,-0.0004060962238850811,-2.230745265338848e-06
-0.03160180297493437,-0.00042208950893826285,-2.437791698544684e-06
-0.030814425665557775,-0.0004376935660983859,-2.652737467303846e-06
-0.03001012693421749,-0.0004528997042483297,-2.875385784890525e-06
-0.029189857499367273,-0.0004676997003567259,-3.1055356360417886e-06
-0.02835459794901493,-0.0004820858142188215,-3.3429820146856755e-06
-0.027505359393758883,-0.000496050803554515,-3.5875161691290095e-06
-0.02664318398522215,-0.0005095879393992602,-3.838925854867453e-06
-0.025769145296105175,-0.0005226910217195921,-4.096995595147166e-06
-0.024884348559411976,-0.0005353543951834714,-4.361506949372932e-06
-0.023989930756251176,-0.0005475729650123871,-4.632238789421896e-06
-0.023087060524930317,-0.0005593422128326825,-4.908967583883164e-06
-0.022176937845851435,-0.0005706582124253779,-5.1914676901976785e-06
-0.02126079344728617,-0.0005815176452486623,-5.4795116546161885e-06
-0.0203398878829197,-0.0005919178155812137,-5.772870519823657e-06
-0.019415510250473163,-0.000601856665114562,-6.071314139997601e-06
-0.018488976541720596,-0.0006113327868126104,-6.374611502979394e-06
-0.017561627627747208,-0.0006203454378549773,-6.682531059146291e-06
-0.016634826886451525,-0.000628894551483527,-6.9948410564809176e-06
-0.015709957476602258,-0.0006369807475742904,-7.311309881245372e-06
-0.014788419259781017,-0.0006446053417583863,-7.631706403578541e-06
-0.013871625369349539,-0.0006517703529156689,-7.955800327247055e-06
-0.012960998423470713,-0.000658478508863874,-8.283362542691941e-06
-0.01205796637963132,-0.0006647332500646495,-8.614165482424072e-06
-0.011163958034013996,-0.0006705387311680608,-8.947983477732249e-06
-0.010280398178406057,-0.0006758998202211658,-9.284593115579555e-06
-0.009408702435218083,-0.0006808220953745718,-9.623773594478489e-06
-0.008550271796302994,-0.0006853118389324521,-9.965307078055245e-06
-0.007706486894130328,-0.0006893760286050605,-1.0308979044939623e-05
-0.006878702033984005,-0.000693022325837089,-1.065457863355016e-05
-0.0060682390144492435,-0.0006962590610991974,-1.100189898028423e-05
-0.005276380764350788,-0.0006990952160438973,-1.1350737549570003e-05
-0.004504364828425999,-0.0007015404024420915,-1.17008964541915e-05
-0.003753376738533759,-0.0007036048378338314,-1.2052182764260481e-05
-0.003024543310589665,-0.0007052993178461123,-1.2404408803180467e-05
-0.002318925911017389,-0.0007066351851515141,-1.2757392428929874e-05
-0.0016375137399750005,-0.0007076242950642622,-1.3110957298983817e-05
-0.0009812171800936153,-0.0007082789777942794,-1.3464933117198452e-05
-0.0003508612604144081,-0.0007086119974044064,-1.3819155860998123e-05
0.00025282071108505424,-0.0007086365075417388,-1.417346798723466e-05
0.0008291932851578357,-0.0007083660040426781,-1.4527718615130763e-05
0.0013777247073015217,-0.0007078142745445633,-1.4881763684777573e-05
0.0018979923694594826,-0.000706995345275373,-1.5235466089732557e-05
0.0023896877884589853,-0.0007059234252358934,-1.5588695782360374e-05
0.0028526210238776,-0.0007046128480328092,-1.594132985067755e-05
0.0032867244546483303,-0.0007030780116631777,-1.6293252565601545e-05
0.003692055839993588,-0.0007013333165895172,-1.664435539766472e-05
0.004068800596935677,-0.000699393102480285,-1.699453700243217e-05
0.004417273237930155,-0.0006972715840215685,-1.7343703174057633e-05
0.004737917928043501,-0.0006949827862300751,-1.7691766766620544e-05
0.005031308138926851,-0.0006925404797133325,-1.8038647583106397e-05
0.00529814539454637,-0.0006899581163299642,-1.8384272232117222e-05
0.005539257117750513,-0.0006872487657018899,-1.8728573952625184e-05
0.00575559359242701,-0.0006844250530243456,-1.9071492407306743e-05
0.005948224052831952,-0.0006814990986130308,-1.9412973445216087e-05
0.006118331906658867,-0.0006784824596231581,-1.9752968834775135e-05
0.00626720910012579,-0.0006753860743714619,-2.009143596827379e-05
0.0063962496426268915,-0.0006722202096857738,-2.0428337539288097e-05
0.006506942318617218,-0.0006689944116954628,-2.0763641194633407e-05
0.006600862621569515,-0.0006657174604604161,-2.1097319162672377e-05
0.006679663952077301,-0.0006623973288170044,-2.142934785999173e-05
0.006745068131482084,-0.0006590411457961146,-2.175970747864501e-05
0.006798855290629607,-0.0006556551649405867,-2.2088381556329185e-05
0.006842853199901741,-0.0006522447378179538,-2.241535653201882e-05
0.006878926115318614,-0.0006488142929891487,-2.2740621289720597e-05
0.00690896322643994,-0.0006453673206537091,-2.306416669313131e-05
0.006934866799875088,-0.0006419063631471303,-2.3385985114081523e-05
0.00695854011400426,-0.0006384330114186605,-2.370606995772297e-05
0.00698187527632944,-0.0006349479075710771,-2.4024415187470405e-05
0.0070067410064935534,-0.0006314507535003713,-2.4341014852738268e-05
0.007034970459174645,-0.0006279403256339543,-2.465586262252185e-05
0.007068349158586931,-0.0006244144957295139,-2.4968951327862717e-05
0.007108603125389507,-0.0006208702576585198,-2.5280272516209724e-05
0.007157387294447681,-0.0006173037600535605,-2.5589816020637745e-05
0.007216274336020595,-0.0006137103446459435,-2.589756954681262e-05
0.007286743992525577,-0.000610084590063807,-2.6203518280490058e-05
0.007370173029218643,-0.0006064203608083709,-2.6507644518208103e-05
0.007467825881191912,-0.0006027108610807682,-2.680992732368039e-05
0.007580846069855281,-0.0005989486930930065,-2.7110342212223832e-05
0.007710248459582324,-0.0005951259194606471,-2.7408860865362247e-05
0.007856912424895139,-0.0005912341292395278,-2.770545087753729e-05
0.008021575997101309,-0.0005872645071340287,-2.800007553663068e-05
0.00820483105568881,-0.0005832079053708311,-2.8292693639756896e-05
0.008407119622409918,-0.0005790549177013064,-2.858325934552493e-05
0.008628731302637221,-0.0005747959549700446,-2.8871722063692768e-05
0.008869801899270455,-0.0005704213216695676,-2.915802638285267e-05
0.00913031320178595,-0.0005659212928943035,-2.944211203649364e-05
0.009410093931388766,-0.0005612861911110098,-2.9723913907494966e-05
0.00970882180793914,-0.0005565064621761778,-3.0003362070816763e-05
0.010026026696880975,-0.0005515727500499727,-3.02803818738733e-05
0.010361094790059651,-0.0005464759696782376,-3.0554894053805354e-05
0.010713273767908543,-0.0005412073775387455,-3.08268148906096e-05
0.011081678882580112,-0.0005357586393761233,-3.109605639483832e-05
0.011465299896585278,-0.000530121894681332,-3.136252652835268e-05
0.011863008812098208,-0.0005242898175041611,-3.162612945639905e-05
0.01227356833112655,-0.0005182556732183549,-3.1886765829079676e-05
0.012695640990209162,-0.000512013370888021,-3.214433309010627e-05
0.013127798909137789,-0.0005055575109131843,-3.239872581055657e-05
0.013568534081782447,-0.0004988834276654543,-3.2649836045201234e-05
0.014016269125449815,-0.0004919872268636462,-3.289755370883351e-05
0.014469368400456149,-0.0004848658174821697,-3.314176696991997e-05
0.014926149415766454,-0.00047751693802811405,-3.338236265879754e-05
0.015384894445509322,-0.0004699391770627951,-3.361922668757026e-05
0.015843862287049152,-0.0004621319878796555,-3.385224447880587e-05
0.016301300087847862,-0.0004540956972859312,-3.408130140009727e-05
0.016755455155304234,-0.00044583150847514317,-3.430628320153754e-05
0.017204586646177397,-0.0004373414980247728,-3.4527076453162516e-05
0.017646977017254994,-0.0004286286071089147,-3.474356897944594e-05
0.018080943113012483,-0.0004196966270763478,-3.495565028799226e-05
0.018504846772574444,-0.0004105501796049511,-3.516321198966258e-05
0.018917104856833882,-0.00040119469169759905,-3.536614820748822e-05
0.01931619862330435,-0.0003916363658275645,-3.556435597186951e-05
0.019700682405469922,-0.0003818821455703709,-3.575773559971899e-05
0.020069191578608658,-0.0003719396770743513,-3.594619105538017e-05
0.020420449811428036,-0.0003618172667268421,-3.612963029133047e-05
0.02075327561305895,-0.00035152383537072037,-3.630796556685486e-05
0.021066588189918304,-0.00034106886941997604,-3.648111374305253e-05
0.021359412625595327,-0.00033046236921609765,-3.664899655271155e-05
0.021630884387525494,-0.00031971479496281744,-3.681154084375628e-05
0.021880253149621023,-0.0003088370105785308,-3.696867879514162e-05
0.022106885906943024,-0.00029784022581438976,-3.712034810423985e-05
0.0223102693525534,-0.00028673593699951567,-3.726649214494333e-05
