acceleration,velocity,displacement
-0.010385575193398984,0.0,0.0
-0.010108015814256303,-5.1233977519138214e-06,-1.2808494379784553e-09
-0.00984498387689513,-1.011164767470168e-05,-5.08961079463233e-09
-0.009599371306101771,-1.4972736470450905e-05,-1.1360706830920475e-08
-0.00937313900352338,-1.9715864047857192e-05,-2.0032856960497502e-08
-0.009167346933300171,-2.435098553206308e-05,-3.104956935547757e-08
-0.008982215467387785,-2.8888376132235067e-05,-4.43594097715521e-08
-0.008817212413488614,-3.333823310245417e-05,-5.991606208022441e-08
-0.008671160292306739,-3.771032627890301e-05,-7.76782019255637e-08
-0.00854235877785584,-4.2013706046443654e-05,-9.760921000690037e-08
-0.008428717053553898,-4.625647500429609e-05,-1.1967675526958531e-07
-0.008327890009884169,-5.044562677015561e-05,-1.4385228071319824e-07
-0.008237411579381468,-5.458695216747202e-05,-1.7011042544760515e-07
-0.008154819296401022,-5.8685009886417644e-05,-1.9842841596107757e-07
-0.008077766405380401,-6.2743156311863e-05,-2.2878545751064775e-07
-0.008004120294460241,-6.676362798682316e-05,-2.6116215358531927e-07
-0.007932047838439597,-7.074767002004812e-05,-2.9553997808703707e-07
-0.007860089398677344,-7.469570432932735e-05,-3.319008216743809e-07
-0.007787223555992349,-7.860753256799478e-05,-3.7022663089871144e-07
-0.007712923487541339,-8.24825693288782e-05,-4.104991563729297e-07
-0.007637203175523003,-8.632010099464429e-05,-4.526998239538103e-07
-0.007560648598019988,-9.011956393803003e-05,-4.968097401869788e-07
-0.007484427639182202,-9.388083299733058e-05,-5.42809839420819e-07
-0.00741027373788281,-9.760450834159684e-05,-5.906811747555509e-07
-0.0073404412900898355,-0.00010129218709859,-6.404053486155976e-07
-0.007277633378997484,-0.00010494670576586183,-6.919650718317105e-07
-0.007224903652884099,-0.00010857234002383223,-7.45344833279134e-07
-0.0071855353028123445,-0.00011217494976275634,-8.005316557257811e-07
-0.0071629022950895,-0.0001157620591622318,-8.575159079570282e-07
-0.007160320579197427,-0.00011934286488080353,-9.16292138967787e-07
-0.007180898302233958,-0.00012292816960116136,-9.768598975882782e-07
-0.007227393642289224,-0.00012653024258729216,-1.0392245006353915e-06
-0.007302087383365462,-0.00013016261284370581,-1.103397714493141e-06
-0.007406675100828616,-0.00013383980346475433,-1.169398318570256e-06
-0.007542180860752589,-0.00013757701745514963,-1.237252523800232e-06
-0.007708891740711706,-0.0001413897856055157,-1.3069942245653985e-06
-0.007906311898629973,-0.00014529358651535113,-1.3786650675956152e-06
-0.008133136756361965,-0.00014930344867909913,-1.4523143263942277e-06
-0.008387250795357916,-0.0001534335455670291,-1.5279985749557597e-06
-0.008665754435610967,-0.00015769679687477133,-1.6057811605662098e-06
-0.008965024919302296,-0.00016210449171349966,-1.6857314827132774e-06
-0.009280812816423052,-0.000166665951147431,-1.76792409342851e-06
-0.00960837107307534,-0.0001713882471198056,-1.8524376429953192e-06
-0.009942609488039236,-0.00017627599226008423,-1.939353702840292e-06
-0.010278265240425523,-0.0001813312109422004,-2.028755503640863e-06
-0.010610079242097654,-0.0001865532970628312,-2.120726630642121e-06
-0.010932968031878449,-0.00019193905888132524,-2.21534971962816e-06
-0.01124218168586779,-0.0001974828463107618,-2.3127051959261816e-06
-0.011533439836585864,-0.00020317675169137522,-2.412870095426716e-06
-0.011803040026773617,-0.00020901087165721508,-2.5159170012638635e-06
-0.012047935137214895,-0.0002149736154482122,-2.62191312304022e-06
-0.012265779464698355,-0.0002210520440986905,-2.730919537926946e-06
-0.012454945451797105,-0.00022723222532781436,-2.842990605283572e-06
-0.012614514327423389,-0.0002334995902726195,-2.9581735591836806e-06
-0.012744244274748257,-0.0002398392799231624,-3.076508276732626e-06
-0.012844519970617715,-0.0002462364709845039,-3.1980272144595424e-06
-0.012916287740390837,-0.00025267667291225605,-3.3227555004337322e-06
-0.012960980870313114,-0.000259145990064932,-3.4507111661780293e-06
-0.012980439358219817,-0.00026563134512206526,-3.5819054999747788e-06
-0.012976827455369919,-0.0002721206618254627,-3.7163435017116606e-06
-0.012952551148227283,-0.00027860300647636197,-3.8540244187871165e-06
-0.01291017658417827,-0.00028506868840946336,-3.994942342508573e-06
-0.012852349393046258,-0.0002915093199037695,-4.139086844586881e-06
-0.012781714315159395,-0.0002979178358308209,-4.286443633520528e-06
-0.01270083546181682,-0.00030428847327506497,-4.436995210797e-06
-0.012612119904102175,-0.0003106167121165447,-4.590721507144902e-06
-0.012517749377457255,-0.0003168991794369346,-4.747600480033272e-06
-0.012419625060017661,-0.00032313352304630334,-4.907608655654081e-06
-0.01231932871510207,-0.00032931826149008327,-5.070721601788178e-06
-0.012218100862750048,-0.0003354526188845463,-5.236914321881835e-06
-0.012116833713150706,-0.0003415363525285215,-5.4061615647351025e-06
-0.012016074292802189,-0.0003475695795300097,-5.578438047749735e-06
-0.01191603273834068,-0.0003535526062877954,-5.753718594204187e-06
-0.011816592334400642,-0.0003594857625559807,-5.93197818641513e-06
-0.01171732011743143,-0.0003653692406689387,-6.11319193722136e-06
-0.01161747792491463,-0.0003712029401795252,-6.297334982433477e-06
-0.011516033286737188,-0.0003769863179824382,-6.484382296973967e-06
-0.011411668938330559,-0.0003827182435387051,-6.674308437354253e-06
-0.01130279017530674,-0.00038839685831711443,-6.867087212818207e-06
-0.011187530310570114,-0.0003940194384385836,-7.062691287007132e-06
-0.011063755141543785,-0.0003995822598016121,-7.261091711567181e-06
-0.010929067311755324,-0.00040508046541493683,-7.462257392871318e-06
-0.010780810831218363,-0.00041050793495068025,-7.666154492962723e-06
-0.01061607517585865,-0.0004158571564524495,-7.872745765813506e-06
-0.010431698482589064,-0.00042111909986706147,-8.081989829893383e-06
-0.010224271251672643,-0.0004262830923006269,-8.293840377935304e-06
-0.009990144716384838,-0.00043133669629264127,-8.508245325083621e-06
-0.00972544967949974,-0.0004362655948916124,-8.725145897879685e-06
