frame_number,force
0,719.782012572008
1,719.7747756690654
2,719.7689502531508
3,719.7638060131932
4,719.7586007651493
5,719.7526021879812
6,719.7451092916863
7,719.735472620804
8,719.7231121894998
9,719.7075323440077
10,719.6883330563483
11,719.6652175152384
12,719.6379962488637
13,719.6065882623193
14,719.5710196769934
15,719.5314201516164
16,719.4880171004997
17,719.4411275463815
18,719.3911474374264
19,719.3385384396379
20,719.2838125068273
21,719.2275147822137
22,719.1702055006718
23,719.1124415731969
24,719.0547585641787
25,718.9976538719208
26,718.9415720079842
27,718.8868928290954
28,718.8339234021461
29,718.7828939396277
30,718.7339579494218
31,718.6871963960315
32,718.6426253063909
33,718.6002059310731
34,718.5598563637695
35,718.5214635156306
36,718.484894536651
37,718.4500070324777
38,718.4166576115061
39,718.3847084362711
40,718.3540316518446
41,718.324511864979
42,718.2960471592969
43,718.2685492850367
44,718.2419435673793
45,718.2161688158715
46,718.1911772471752
47,718.1669342474257
48,718.1434177051875
49,718.1206166384283
50,718.0985289404631
51,718.0771582605778
52,718.0565102170634
53,718.0365882258532
54,718.0173892157053
55,717.9988994312114
56,717.981090433959
57,717.9639153542428
58,717.947305464661
59,717.9311672008392
60,717.9153797625141
61,717.8997933949879
62,717.8842284544678
63,717.8684754317693
64,717.8522961886958
65,717.8354266684123
66,717.8175812528225
67,717.7984588034873
68,717.7777502924488
69,717.7551478310679
70,717.7303548553541
71,717.7030972256997
72,717.6731349940304
73,717.6402745035001
74,717.604380298181
75,717.565386115492
76,717.5233041428326
77,717.4782318145265
78,717.4303556517784
79,717.3799518977203
80,717.3273839257186
81,717.2730965964928
82,717.2176078732618
83,717.1614980667808
84,717.1053971311404
85,717.0499704791404
86,716.9959037614615
87,716.9438869397122
88,716.8945978845119
89,716.8486857334739
90,716.8067543099805
91,716.7693459693327
92,716.7369263339231
93,716.70987052889
94,716.6884516368211
95,716.6728320277109
96,716.6630579854598
97,716.6590577630742
98,716.6606429818003
99,716.6675131804437
100,716.6792632603209
101,716.6953934957614
102,716.7153216929054
103,716.738397017722
104,716.7639149943494
105,716.7911331958273
