frame_number,force
0,872.990723
1,873.348816
2,872.302795
3,873.516113
4,872.474792
5,871.404907
6,870.17749
7,871.758423
8,871.433716
9,871.419189
10,870.893921
11,872.637207
12,874.227661
13,873.69751
14,871.949402
15,872.981079
16,872.641968
17,872.111816
18,872.298096
19,871.782288
20,872.126099
21,871.056152
22,873.181641
23,873.186401
24,871.772705
25,872.632507
26,873.69751
27,874.423462
28,874.237183
29,873.520813
30,876.171631
31,872.833008
32,874.753113
33,875.641418
34,874.409119
35,875.479004
36,874.585938
37,874.232422
38,875.115967
39,876.333984
40,874.585938
41,876.333984
42,874.767273
43,872.484375
44,875.297485
45,877.914917
46,874.958496
47,874.93457
48,875.818237
49,875.469482
50,876.343628
51,877.050537
52,875.101685
53,873.191284
54,876.343628
55,876.868896
56,875.464722
57,879.151978
58,876.161987
59,873.363098
60,874.963196
61,875.474182
62,877.045715
63,879.495789
64,876.701782
65,877.418213
66,876.190674
67,877.738159
68,878.626587
69,878.798462
70,877.580688
71,877.594849
72,878.101196
73,878.808105
74,874.772217
75,875.130249
76,880.040283
77,876.873657
78,877.227173
79,876.529785
80,874.781677
81,877.227173
82,878.621826
83,876.17627
84,879.510193
85,877.055176
86,877.236694
87,878.636108
88,878.83667
89,877.762085
90,879.3573
91,878.817688
92,878.989624
93,877.236694
94,876.883301
95,879.519714
96,878.101196
97,879.877991
98,881.960449
99,879.343018
100,880.909546
101,878.812866
102,880.21228
103,880.933472
104,880.928711
105,880.035583
106,881.086304
107,881.802795
108,880.747192
109,883.19751
110,880.560974
111,881.793213
112,884.071533
113,883.015869
114,882.667297
115,882.151489
116,881.439697
117,882.853516
118,883.555603
119,883.536499
120,884.950195
121,883.202209
122,885.298889
123,882.839233
124,885.28949
125,883.54126
126,884.950195
127,884.945496
128,884.945496
129,883.550903
130,882.848816
131,884.950195
132,886.173096
133,886.512085
134,885.647583
135,885.81958
136,886.173096
137,887.744385
138,887.233398
139,888.804688
140,887.05658
141,885.652405
142,887.042175
143,887.037476
144,890.38562
145,887.753906
146,888.63269
147,888.455994
148,887.558105
149,886.521729
150,887.223816
151,886.712708
152,890.027405
153,888.623108
154,887.758667
155,887.758667
156,888.809387
157,889.697876
158,887.596313
159,888.95752
160,889.15332
161,888.799805
162,889.86499
163,889.502014
164,888.451172
165,889.162842
166,888.637512
167,890.911011
168,888.81897
169,888.976624
170,889.334839
171,889.15332
172,887.586792
173,887.945007
174,888.804688
175,890.032104
