file_prefix,cutoff_type,cutoff_frequency,PID,propulsive_peakforce_rfd_slope_between_events,propulsive_peakforce_rfd_instantaneous_average_between_events,propulsive_peakforce_rfd_instantaneous_peak_between_events,braking_peakforce_rfd_slope_between_events,braking_peakforce_rfd_instantaneous_average_between_events,braking_peakforce_rfd_instantaneous_peak_between_events,braking_propulsive_rfd_slope_between_events,braking_propulsive_rfd_instantaneous_average_between_events,braking_propulsive_rfd_instantaneous_peak_between_events,braking_net_vertical_impulse,propulsive_net_vertical_impulse,braking_to_propulsive_net_vertical_impulse,total_net_vertical_impulse,peak_force,average_force_of_braking_phase,average_force_of_propulsive_phase,takeoff_velocity,jump_height_takeoff_velocity,jump_height_net_vertical_impulse,movement_time,unweighting_time,braking_time,propulsive_time,lowering_displacement,frame_start_of_unweighting_phase,frame_start_of_breaking_phase,frame_start_of_propulsive_phase,frame_peak_force,trial_type,trial_number
F01_CTRL2,group_cutoff,26.648000000000003,F01,1219.4118132818571,1220.5676798758914,3847.995041735121,1132.3483891490714,1133.1882476765854,3847.995041735121,1064.0370871371936,1064.6290008740532,2226.1958457081346,135.17207818828106,92.96610174778654,42.05068195463072,120.55078908313834,1090.7139577563082,644.0312670997423,864.6906394740979,2.3651906831755043,0.2851236986636192,0.2851236986636193,0.9295,0.4075,0.2925,0.2295,-0.2761874270151443,1937,2752,3337,3796,CTRL,2
F01_CTRL3,group_cutoff,26.648000000000003,F01,1355.4565898130415,1357.3507181668206,3451.970990434056,1029.226813037897,1030.595651198618,3451.970990434056,771.1109456993212,772.0641696413591,3288.3155724345124,139.86270318359524,96.77598032850835,42.963833307001664,119.78863781803717,1087.9135419538006,635.1643565318166,850.2541288901112,2.3498911920839722,0.2814469222545276,0.28144692225452667,0.94,0.3695,0.3185,0.252,-0.27908253314482123,1938,2677,3314,3818,CTRL,3
F01_CTRL4,group_cutoff,26.648000000000003,F01,1341.7264463766369,1342.3521480822433,3135.8022310257656,1179.7995656071064,1181.6835215238502,4153.767991164059,1048.7703935356487,1051.6725127539842,4153.767991164059,134.29975511998066,91.23909945101951,42.91272286977532,118.14145104908569,1102.7173083087914,651.3411784323548,857.5333817708027,2.320508355306336,0.27445254979849726,0.274452549798497,0.887,0.375,0.283,0.229,-0.26194533137093634,2022,2772,3338,3796,CTRL,4
F01_CTRL5,group_cutoff,26.648000000000003,F01,1379.0372795745666,1379.6249916968363,3321.8039306751452,1079.6229013787472,1081.3043894035816,3719.047371218272,841.6268571718141,844.1777568115073,3719.047371218272,135.39872687344092,92.62253747267545,42.64462597424735,117.63506342692644,1103.353260011577,634.965362824743,838.5798732798445,2.316931258545918,0.2736070569228935,0.27360705692289344,0.919,0.359,0.312,0.248,-0.27122315294228033,1965,2683,3307,3803,CTRL,5
F01_EXTf1,group_cutoff,26.648000000000003,F01,1492.1124358986235,1492.1914826119394,4138.84844933555,1172.4787971529295,1174.125462090751,4138.84844933555,877.0598280091821,880.1553522151074,3437.568323609943,128.4446080325331,85.78701489080491,42.542157382484504,118.20763144162281,1094.2418617946348,660.63676112516,830.5709618668749,2.3226050650235934,0.2749487404726427,0.27494874047264345,0.9315,0.4235,0.264,0.244,-0.2599538848498213,1909,2756,3284,3772,EXTf,1
F01_EXTf2,group_cutoff,26.648000000000003,F01,1575.83634909912,1576.8019432225674,2564.417108474765,1099.2296039122302,1100.3021989744777,2564.417108474765,731.2555357984362,732.4107431424854,2388.0675086963456,135.6134569174356,95.99986291507557,39.4996755468659,117.21747513439935,1106.2193970169494,626.1417191364759,856.0826478285278,2.303704330009701,0.27049203058641413,0.2704920305864141,0.9565,0.4045,0.3115,0.2405,-0.2550763063443474,1909,2718,3341,3822,EXTf,2
F01_EXTf3,group_cutoff,26.648000000000003,F01,1180.9098558621083,1182.0873990392422,2860.6840876772767,1043.3793874295889,1043.8293732882976,2860.6840876772767,929.8285904160728,929.6778751041842,2307.481575015234,134.45622379465033,93.80904298732175,40.51137561461946,116.53941389813971,1056.0902110714371,637.7366246175635,840.2311164411925,2.2910654486477426,0.26753215545298076,0.26753215545298076,0.978,0.444,0.2925,0.2415,-0.26419838982257676,1842,2730,3315,3798,EXTf,3
F01_EXTf4,group_cutoff,26.648000000000003,F01,1489.5180439089447,1490.9891419385772,4294.200614198344,1055.5941841161516,1056.607387996719,4294.200614198344,784.391771745656,785.1187917830572,2471.7822252182523,128.48814443225817,91.42883786727143,36.919904323220706,116.89652068209331,1110.6638119424292,604.0112835282662,863.7008186286511,2.2930135013974446,0.2679873046682451,0.2679873046682449,0.937,0.3585,0.356,0.2225,-0.2632381896739476,1926,2643,3355,3800,EXTf,4
F01_EXTf5,group_cutoff,26.648000000000003,F01,1777.5529835042234,1777.4103708236553,3723.9101583036827,1131.3927094822895,1132.3066880911501,3723.9101583036827,639.2287648568874,640.9475223383723,2266.1995252514025,119.86518278258589,84.45834619558042,35.307694543005795,114.74135288865352,1117.0999129858315,612.3259037359394,829.7142832170523,2.258207581065333,0.25991342911217846,0.25991342911217835,0.971,0.424,0.3105,0.2365,-0.24489426413160978,1836,2684,3305,3778,EXTf,5
F01_INTf1,group_cutoff,26.648000000000003,F01,1463.5946394134708,1465.151659435721,4414.810856654658,1110.0881470445108,1110.991482062843,4414.810856654658,841.5372471964782,841.9439924779631,2480.6147936061025,128.6302259067318,89.09945505280403,39.400518287615895,115.64741190182525,1105.1431546290992,626.8938278443436,836.8887684736236,2.270884346363937,0.262839740803301,0.26283974080330125,0.9315,0.386,0.31,0.2355,-0.2531348538472189,1920,2692,3312,3783,INTf,1
