frame_number,force
0,496.4487000069379
1,496.49237234578015
2,496.5360312703968
3,496.5796638486191
4,496.62325810137355
5,496.66680345156027
6,496.71029113933713
7,496.7537145922694
8,496.7970697393913
9,496.8403552600841
10,496.8835727613694
11,496.9267268794996
12,496.9698253029298
13,497.01287871449426
14,497.0559006518665
15,497.0989072874714
16,497.1419171315316
17,497.18495066439016
18,497.22802990650496
19,497.2711779362905
20,497.3144183668557
21,497.35777479265465
22,497.40127021671236
23,497.44492646888546
24,497.4887636255596
25,497.53279944101774
26,497.5770488002301
27,497.6215232020125
28,497.6662302805784
29,497.71117337267975
30,497.7563511367431
31,497.80175722970404
32,497.8473800469095
33,497.89320253039745
34,497.9392020502714
35,497.98535036222455
36,498.03161364224223
37,498.07795259828816
38,498.12432265843347
39,498.17067423427244
40,498.21695305668857
41,498.2631005784024
42,498.3090544352498
43,498.3547489564129
44,498.40011571279274
45,498.4450840921867
46,498.4895818899489
47,498.5335359043914
48,498.5768725273333
49,498.6195183220574
50,498.6614005832514
51,498.7024478755236
52,498.7425905482148
53,498.78176122471444
54,498.8198952647554
55,498.8569311983782
56,498.8928111304555
57,498.92748111496303
58,498.96089149850565
59,498.99299723272264
60,499.0237581548989
61,499.0531392354745
62,499.0811107904337
63,499.10764865593313
64,499.1327343219565
65,499.1563550212212
66,499.17850376919654
67,499.1991793514785
68,499.21838625619165
69,499.2361345508605
70,499.25243970426635
71,499.26732235422486
72,499.2808080230375
73,499.2929267840644
74,499.3037128849228
75,499.3132043345255
76,499.3214424621692
77,499.32847145701714
78,499.33433789555744
79,499.3390902631218
80,499.3427784737658
81,499.34545339138737
82,499.3471663543866
83,499.3479687064847
84,499.3479113371699
85,499.34704423629904
86,499.3454160684702
87,499.34307377365803
88,499.34006220105044
89,499.33642378291114
90,499.3321982544468
91,499.3274224239367
92,499.322129995284
93,499.3163514436647
94,499.3101139445936
95,499.30344135687216
96,499.2963542593989
97,499.28887004026546
98,499.2810030346134
99,499.27276470632165
100,499.2641638678987
101,499.2552069325124
102,499.24589819180255
103,499.2362401133075
104,499.22623365193067
105,499.21587857018335
106,499.20517376149866
107,499.1941175699438
108,499.1827080987842
109,499.1709435001329
110,499.15882223862565
111,499.1463433236397
112,499.13350650678046
113,499.1203124436658
114,499.1067628207087
115,499.0928604481588
116,499.0786093203214
117,499.06401464302405
