acceleration,velocity,displacement
-0.035295204212096525,0.0,0.0
-0.03617270633089194,-1.7866977635747115e-05,-4.466744408936779e-09
-0.03704657700555165,-3.617179846985801e-05,-1.797643843533806e-08
-0.03791320719872317,-5.491174452092672e-05,-4.074732418303425e-08
-0.03876903233033363,-7.408230440319091e-05,-7.299583641406365e-08
-0.03961055362732807,-9.367720089260633e-05,-1.1493571273801296e-07
-0.040434358460205336,-0.00011368842891448969,-1.6677712018978697e-07
-0.041237139406407386,-0.00013410630338114287,-2.287258032636951e-07
-0.042015711842539,-0.00015491951619337946,-3.009822581573257e-07
-0.04276702992673631,-0.00017611520163569828,-3.837409376145951e-07
-0.04348820088563775,-0.0001976790093387918,-4.771894903582176e-07
-0.04417649756884596,-0.0002195951839524127,-5.815080386810187e-07
-0.044829369276463596,-0.0002418466506637401,-6.968684973350569e-07
-0.045444450899178014,-0.00026441510570765053,-8.234339364279046e-07
-0.046019570435418856,-0.00028728111104129976,-9.61357990615142e-07
-0.04655275497013998,-0.00031042419239268946,-1.1107843164736395e-06
-0.04704223521424841,-0.00033382293993878653,-1.2718460995565086e-06
-0.047486448708861116,-0.0003574551109195639,-1.4446656122710962e-06
-0.047884041794868805,-0.0003812977335454964,-1.6293538233873612e-06
-0.04823387044140377,-0.0004053272116045645,-1.8260100596748764e-06
-0.04853500001782867,-0.0004295194292193726,-2.0347217198808608e-06
-0.04878670407434821,-0.00045384985524241686,-2.255564040996308e-06
-0.04898846215995731,-0.0004782936468009932,-2.488599916507161e-06
-0.04913995666097902,-0.0005028257515062273,-2.733879766083966e-06
-0.049241068610739874,-0.000527421007824157,-2.991441455916562e-06
-0.049291872421837676,-0.0005520542430823014,-3.2613102686431767e-06
-0.04929262953155997,-0.0005767003685706509,-3.543498921556415e-06
-0.04924378101374971,-0.0006013344712069783,-3.838007631500822e-06
-0.04914593927206453,-0.0006259319012784319,-4.144824224622175e-06
-0.048999878968090924,-0.0006504683558384707,-4.4639242889014e-06
-0.04880652734535129,-0.0006749199574168313,-4.795271367215226e-06
-0.048566954095666526,-0.0006992633277770857,-5.138817188513705e-06
-0.048282360892309334,-0.0007234756565240797,-5.494501934588996e-06
-0.04795407069291556,-0.0007475347644203859,-5.862254539825113e-06
-0.04758351689679897,-0.0007714191613178145,-6.241993021259663e-06
-0.047172232426617104,-0.0007951080986486685,-6.6336248362512835e-06
-0.046721838794675286,-0.0008185816164539917,-7.037047265026949e-06
-0.04623403521036644,-0.0008418205849552521,-7.4521478153792595e-06
-0.04571058778268901,-0.000864806740703516,-7.878804646793951e-06
-0.0451533188614526,-0.0008875227173645514,-8.316887011310967e-06
-0.04456409654114367,-0.0009099520712152005,-8.766255708455905e-06
-0.043944824333303774,-0.0009320793014338124,-9.226763551618159e-06
-0.04329743100778621,-0.0009538898652690849,-9.698255843293883e-06
-0.04262386060985072,-0.0009753701881734941,-1.0180570856654528e-05
-0.04192606267268262,-0.0009965076689941274,-1.0673540320946433e-05
-0.04120598266027458,-0.0010172906803273668,-1.1176989908276807e-05
-0.04046555269261712,-0.0010377085641655897,-1.1690739719400046e-05
-0.03970668262134992,-0.0010577516229940815,-1.2214604766189964e-05
-0.038931251537373514,-0.0010774111065337624,-1.2748395448571924e-05
-0.03814109980275779,-0.0010966791943687953,-1.3291918023797563e-05
-0.037338021705612776,-0.001115548974745888,-1.3844975066076234e-05
-0.036523758831594075,-0.0011340144198801897,-1.4407365914732753e-05
-0.035699994222051896,-0.0011520703581436012,-1.4978887109238701e-05
-0.034868347348387035,-0.0011697124435362108,-1.5559332809658655e-05
-0.034030369887685055,-0.0011869371228452289,-1.6148495201254014e-05
-0.033187542249651494,-0.001203741600879563,-1.674616488218521e-05
-0.03234127078350134,-0.0012201238041378512,-1.7352131233439564e-05
-0.031492885583098845,-0.0012360823432295011,-1.7966182770281403e-05
-0.030643638803974152,-0.0012516164743262693,-1.8588107474670347e-05
-0.02979470340197375,-0.0012667260598777563,-1.9217693108221352e-05
-0.02894717220094897,-0.001281411528778487,-1.9854727505385412e-05
-0.02810205720180533,-0.0012956738361291757,-2.0498998846612327e-05
-0.027260289058587617,-0.0013095144226942738,-2.115029591131819e-05
-0.026422716662825203,-0.001322935174124627,-2.1808408310522917e-05
-0.025590106792323607,-0.001335938379988414,-2.2473126699051176e-05
-0.024763143797758076,-0.0013485266926359346,-2.3144242967207264e-05
-0.023942429321096057,-0.001360703085915648,-2.3821550411845158e-05
-0.02312848206231145,-0.0013724708137615,-2.4504843886764444e-05
-0.022321737631775942,-0.0013838333686850219,-2.5193919932376075e-05
-0.02152254854147293,-0.001394794440228334,-2.5888576884604414e-05
-0.020731184399163646,-0.0014053578734634932,-2.658861496302737e-05
-0.01994783238216358,-0.001415527627658825,-2.729383633830795e-05
-0.019172598086405864,-0.0014253077352759675,-2.8004045179041648e-05
-0.018405506867760227,-0.001434702261514509,-2.8719047678239267e-05
-0.017646505803311213,-0.001443715264682277,-2.9438652059788463e-05
-0.016895466387204856,-0.001452350757729906,-3.0162668565391508e-05
-0.01615218803675576,-0.0014606126713358962,-3.089090942265796e-05
-0.015416402432222974,-0.0014685048189531408,-3.162318879523022e-05
-0.014687778665926977,-0.0014760308642276783,-3.2359322716025425e-05
-0.013965929143858694,-0.0014831942911801247,-3.3099129004877374e-05
-0.01325041616350645,-0.001489998377506966,-3.384242717204915e-05
-0.012540759074540822,-0.0014964461713164777,-3.458903830925501e-05
-0.011836441907310941,-0.0015025404715619407,-3.5338784969974613e-05
-0.01113692133521405,-0.001508283812372572,-3.6091491040958245e-05
-0.010441634836689511,-0.0015136784514155478,-3.6846981606905276e-05
-0.009750008946562881,-0.001518726362361361,-3.76050828103495e-05
-0.00906146751873567,-0.0015234292314776855,-3.836562170880927e-05
-0.008375439937702983,-0.0015277884583417953,-3.912842613126414e-05
-0.007691369206295836,-0.001531805160627795,-3.989332453600654e-05
-0.007008719814580323,-0.001535480182883014,-4.066014587188424e-05
-0.006326985277841547,-0.0015388141091561194,-4.1428719444894024e-05
-0.005645695228385237,-0.001541807279282676,-4.219887479200372e-05
-0.004964421954328838,-0.0015444598085783546,-4.297044156396898e-05
-0.0042827862941383485,-0.0015467716106404715,-4.3743249418773684e-05
-0.0036004628141626987,-0.0015487424229175468,-4.451712792716319e-05
-0.002917184215227589,-0.0015503718346748943,-4.5291906491561296e-05
-0.0022327449327501753,-0.0015516593169618887,-4.606741427947049e-05
-0.0015470039144203388,-0.0015526042541736814,-4.684348017225438e-05
-0.0008598865784657593,-0.001553205976796903,-4.7619932729997025e-05
-0.00017138596775233272,-0.0015534637949334573,-4.839660017292961e-05
0.0005184368823585766,-0.0015533770322048058,-4.917331037971418e-05
0.0012094533442294293,-0.0015529450596481588,-4.9949890902677415e-05
0.001901468341283415,-0.0015521673292267805,-5.072616899989615e-05
0.002594222199919301,-0.0015510434065914799,-5.150197168385072e-05
0.0032873931738446184,-0.0015495730027480388,-5.22771257861856e-05
0.003980600612134015,-0.001547756004301544,-5.3051458037947995e-05
0.004673408748233511,-0.0015455925019614522,-5.382479516451374e-05
0.005365331082034595,-0.0015430828170038852,-5.459696399425508e-05
0.006055835311142918,-0.001540227525405591,-5.536779157985745e-05
0.006744348745794228,-0.0015370274793913565,-5.613710533105668e-05
0.007430264117630374,-0.0015334838261755004,-5.6904733157448396e-05
0.008112945668598364,-0.0015295980237289431,-5.7670503619924506e-05
0.00879173539338221,-0.001525371853463448,-5.8434246089222605e-05
0.009465959322079985,-0.0015208074297845824,-5.9195790910034613e-05
0.010134933770541294,-0.001515907206511427,-5.9954969569108616e-05
0.010797971531226596,-0.001510673980185985,-6.071161486578297e-05
0.011454387997293486,-0.001505110890303855,-6.146556108340543e-05
0.01210350719698161,-0.0014992214165052862,-6.221664416010772e-05
0.012744667685152696,-0.0014930093727847527,-6.296470185743022e-05
0.013377228227243304,-0.0014864788988066537,-6.370957392532808e-05
0.0140005732297142,-0.0014796344484424143,-6.445110226214035e-05
0.014614117902073776,-0.0014724807756594674,-6.518913106816582e-05
0.015217313151447816,-0.001465022917896087,-6.592350699155471e-05
0.015809650203710265,-0.0014572661770572975,-6.665407926529305e-05
0.016390664931010462,-0.0014492160982736172,-6.738069983412577e-05
0.01695994186433535,-0.0014408784465747809,-6.810322347033788e-05
0.017517117886187487,-0.0014322591816371502,-6.882150787739086e-05
0.018061885622278995,-0.0014233644307600336,-6.953541378049015e-05
0.01859399656884011,-0.001414200460212254,-7.024480500323322e-05
0.019113263995505718,-0.0014047736450711675,-7.094954852955408e-05
0.0196195656539214,-0.0013950904376588108,-7.164951455023657e-05
0.020112846306871063,-0.0013851573346686126,-7.234457649331843e-05
0.020593120077983376,-0.001374980843072399,-7.303461103775367e-05
0.021060472609206654,-0.0013645674449006015,-7.371949810974692e-05
0.02151506300255175,-0.0013539235609976619,-7.439912086122149e-05
0.02195712551104243,-0.0013430555138692632,-7.507336562993822e-05
0.022386970921568546,-0.0013319694897611105,-7.574212188084581e-05
0.022804987536561867,-0.0013206715001465778,-7.640528212832274e-05
0.02321164162808196,-0.001309167342855417,-7.706274183907323e-05
0.023607477229428117,-0.0012974625631410395,-7.771439931557234e-05
0.023993115148456614,-0.0012855624150465684,-7.836015556011924e-05
0.024369251114015274,-0.0012734718234809503,-7.899991411975112e-05
0.024736652985925738,-0.001261195347455965,-7.963358091248535e-05
0.025096156971850223,-0.001248737144966521,-8.026106403559098e-05
0.025448662810548327,-0.0012361009400209213,-8.088227355683784e-05
0.025795127903861875,-0.0012232899923423188,-8.149712128992866e-05
0.026136560407923698,-0.0012103070702643723,-8.210552055558033e-05
0.02647401132468531,-0.00119715442733122,-8.270738592997922e-05
0.026808565662973627,-0.0011838337830843053,-8.33026329825831e-05
0.027141332762005716,-0.0011703463084780604,-8.38911780054737e-05
0.027473435893388527,-0.0011566926163142119,-8.447293773667176e-05
0.02780600127953352,-0.0011428727570209813,-8.504782908000556e-05
0.028140146679498112,-0.0011288862200312234,-8.561576882426861e-05
0.02847696969445893,-0.001114731940937734,-8.617667336451085e-05
0.02881753594013135,-0.0011004083145290866,-8.673045842837755e-05
0.029162867225960933,-0.0010859132137375634,-8.727703881044421e-05
0.029513929870438875,-0.0010712440144634635,-8.781632811749447e-05
0.02987162327177773,-0.0010563976261779094,-8.834823852765481e-05
0.030236768849870112,-0.0010413705281474973,-8.887268056623616e-05
0.030610099480664458,-0.0010261588110648636,-8.938956290103925e-05
0.03099224955654665,-0.0010107582238055607,-8.989879215975686e-05
0.03138374582799265,-0.0009951642249594259,-9.04002727719481e-05
0.03178499921299572,-0.0009793720386991787,-9.089390683786275e-05
0.032196297789366876,-0.000963376714448588,-9.137959402614969e-05
0.032617801188657765,-0.0009471731897040818,-9.185723150218786e-05
0.03304953657597072,-0.0009307563552629247,-9.232671388842961e-05
0.03349139633406875,-0.0009141211220354148,-9.278793325775419e-05
0.03394313749105857,-0.000897262488579133,-9.324077916040783e-05
0.034404382858520356,-0.0008801756084917383,-9.368513868467555e-05
0.03487462379920997,-0.0008628558568273058,-9.412089655100531e-05
0.03535322452588689,-0.0008452988947460316,-9.454793523889864e-05
0.03583942783289483,-0.0008275007316563361,-9.496613514549923e-05
0.03633236216066953,-0.000809457784157945,-9.537537477445279e-05
0.03683104988273987,-0.0007911669311470926,-9.577553095327905e-05
0.03733441668924903,-0.0007726255645040955,-9.616647907719184e-05
0.037841301925129286,-0.0007538316348505009,-9.65480933770305e-05
0.03835046972738967,-0.0007347836919373711,-9.692024720872746e-05
0.0388606207988073,-0.0007154809193058219,-9.728281336153826e-05
0.03937040465765252,-0.000695923162941707,-9.763566438210014e-05
0.03987843221248282,-0.0006761109537241732,-9.797867291126661e-05
0.040383288522406594,-0.0006560455235404507,-9.831171203058277e-05
0.04088354561221044,-0.0006357288150067965,-9.863465561521959e-05
0.04137777521265664,-0.0006151634848005797,-9.894737869017144e-05
0.041864561283520646,-0.0005943529006765354,-9.924975778654072e-05
0.042342512154134655,-0.0005733011323171216,-9.954167129478914e-05
0.042810272099897725,-0.0005520129362536134,-9.982299981193182e-05
0.04326653218236454,-0.0005304937351830478,-0.00010009362647979098
0.04371004021843126,-0.0005087495920828489,-0.00010035343731160745
0.04413960979663472,-0.00048678717957908237,-0.00010060232150452294
0.04455412830485279,-0.0004646137450537105,-0.00010084017173568114
0.04495256396117128,-0.0004422370719872045,-0.00010106688443994137
0.045333971850734525,-0.00041966543803422803,-0.00010128236006744672
0.04569749897604188,-0.00039690757032753395,-0.00010148650331953717
0.0460423883302996,-0.0003739725985009486,-0.00010167922336174429
0.046367981999457866,-0.0003508700059185092,-0.00010186043401284916
0.04667372328809585,-0.0003276095795966208,-0.00010203005390922794
0.04695915785532076,-0.0003042013593107666,-0.00010218800664395479
0.04722393385007472,-0.00028065558638441774,-0.00010233422088037859
0.04746780105635981,-0.0002569826526578091,-0.00010246863044013915
0.047690609094462516,-0.00023319305012010352,-0.00010259117436583363
0.04789230476104199,-0.0002092973216562274,-0.00010270179695877772
0.04807292861304915,-0.0001853060133127046,-0.00010280044779251995
0.04823261090331414,-0.00016122962843361378,-0.00010288708170295653
0.0483715669695806,-0.0001370785839653901,-0.00010296165875605627
0.04849009217462426,-0.00011286316917933888,-0.00010302414419434246
0.04858855649221339,-8.859350701262947e-05,-0.00010307450836339044
0.04866739882623458,-6.427951818301748e-05,-0.00010311272661968936
0.04872712113804651,-3.99308881919472e-05,-0.0001031387792212831
0.04876828244423038,-1.555703729637798e-05,-0.00010315265120265517
0.04879149273423391,8.832906498238093e-06,-0.0001031543322353547
0.048797406841280214,3.323013139211662e-05,-0.00010314381647588211
0.048786718278491806,5.762616267205963e-05,-0.00010312110240236606
0.04876015303148462,8.201288049955373e-05,-0.00010308619264157317
0.04871846328774757,0.00010638253457936179,-0.00010303909378780344
0.04866242108867761,0.00013072775567346808,-0.00010297981621524023
0.04859281191321363,0.00015504156392394088,-0.00010290837388534087
0.04851042823662181,0.00017931737396139973,-0.00010282478415086954
0.048416063143376285,0.00020354899680639926,-0.00010272906755817758
0.04831050409902695,0.00022773063861700006,-0.00010262124764932174
0.048194526998147504,0.00025185689639129367,-0.00010250135076556967
0.0480688906048588,0.00027592275079204524,-0.00010236940585377383
0.04793433149377067,0.0002999235563167026,-0.00010222544427699664
0.047791559587243806,0.0003238550290869562,-0.00010206949963064572
0.04764125436904934,0.0003477132325760295,-0.00010190160756522998
0.047484061830331374,0.00037149456162587465,-0.0001017218056166795
0.04732059217569149,0.0003951957251273804,-0.00010153013304499119
0.04715141829780528,0.0004188137277457546,-0.0001013266306817729
0.04697707501967831,0.0004423458510751255,-0.00010111134078706769
0.04679805908880572,0.0004657896346022465,-0.00010088430691564835
0.046614829875540276,0.000489142856843333,-0.00010064557379278696
0.046427810687062344,0.0005124035169839837,-0.00010039518719933014
0.046237390576804455,0.0005355698172999503,-0.00010013319386575915
0.04604392651684887,0.0005586401465733637,-9.985964137479082e-05
0.045847745804472886,0.0005816130646536941,-9.957457807198406e-05
0.045649148589525776,0.0006044872882521937,-9.927805298375759e-05
0.04544841043722998,0.0006272616780088827,-9.897011574219233e-05
0.0452457848762312,0.000649935226837248,-9.865081651598079e-05
0.04504150590748185,0.0006725070495331763,-9.832020594688819e-05
0.04483579045274349,0.0006949763736232326,-9.797833509109908e-05
0.04462884070819911,0.0007173425314134683,-9.76252553648399e-05
0.04442084635610919,0.0007396049531795453,-9.726101849369165e-05
0.044211986587010255,0.0007617631614153252,-9.688567646504294e-05
0.04400243189859049,0.0007838167660367254,-9.649928148317992e-05
0.043792345659827155,0.0008057654604263298,-9.610188592656416e-05
0.043581885447500864,0.0008276090182031618,-9.569354230690679e-05
0.04337120416325189,0.00084934729060585,-9.527430322970454e-05
0.04316045092374873,0.0008709802043776002,-9.484422135595867e-05
