frame_number,force
0,534.3670100054965
1,534.334061419191
2,534.3012245816525
3,534.2686106339982
4,534.2363295104877
5,534.2044893557397
6,534.1731959654929
7,534.1425522569305
8,534.1126577734028
9,534.083608227068
10,534.0554950814397
11,534.0284051746088
12,534.0024203838482
13,533.9776173334329
14,533.9540671484453
15,533.9318352566247
16,533.9109812378421
17,533.8915587178652
18,533.8736153014651
19,533.8571925403872
20,533.8423259335785
21,533.8290449589525
22,533.8173731372167
23,533.8073281289194
24,533.7989218658226
25,533.7921607167256
26,533.7870456863243
27,533.7835726443832
28,533.7817325817574
29,533.7815118894567
30,533.7828926568957
31,533.7858529860117
32,533.7903673191713
33,533.7964067801935
34,533.8039395286085
35,533.8129311269926
36,533.8233449199289
37,533.8351424211368
38,533.8482837031203
39,533.8627277819215
40,533.8784329887542
41,533.8953573207203
42,533.9134587642154
43,533.9326955861645
44,533.9530265893319
45,533.9744113288492
46,533.9968102885142
47,534.0201850175495
48,534.0444982308709
49,534.0697138774442
50,534.0957971812959
51,534.1227146585832
52,534.1504341128364
53,534.17892460961
54,534.2081564311383
55,534.238101011145
56,534.2687308500591
57,534.300019411806
58,534.3319410047696
59,534.3644706504756
60,534.3975839430628
61,534.431256900915
62,534.465465810569
63,534.5001870635826
64,534.5353969888531
65,534.5710716842603
66,534.6071868517552
67,534.6437176397745
68,534.6806384968339
69,534.7179230403456
70,534.755543944869
71,534.7934728538643
72,534.8316803183885
73,534.8701357650297
74,534.9088074939109
75,534.9476627061961
76,534.9866675595432
77,535.0257872495221
78,535.0649861147423
79,535.1042277629682
80,535.1434752151342
81,535.1826910645506
82,535.2218376496044
83,535.2608772389997
84,535.2997722285467
85,535.3384853484037
86,535.376979880393
87,535.4152198860329
88,535.4531704457236
89,535.4907979076486
90,535.5280701427674
91,535.5649568012934
92,535.6014295662391
93,535.6374623998305
94,535.6730317781588
95,535.7081169086305
96,535.7426999241397
97,535.7767660477448
98,535.8103037223052
99,535.8433047012643
100,535.8757640993305
101,535.9076804044696
102,535.9390554544377
103,535.9698943815841
104,536.0002055290562
105,536.0300003403948
106,536.0592932232136
107,536.0881013864085
108,536.1164446494798
109,536.1443452223194
110,536.1718274541118
111,536.1989175503722
112,536.2256432574857
113,536.2520335147952
114,536.2781180758849
115,536.3039271033583
116,536.3294907445216
117,536.3548386978483
118,536.3799997810042
119,536.4050015102898
120,536.4298696991847
121,536.4546280814559
122,536.4792979629899
123,536.5038979061763
124,536.5284434506564
125,536.5529468741029
126,536.577416996278
127,536.6018590286947
128,536.6262744709047
129,536.6506610534065
130,536.6750127266438
131,536.699319694893
132,536.7235684926087
133,536.7477420996698
134,536.7718200917409
135,536.7957788225382
136,536.8195916354553
137,536.8432291023354
138,536.8666592872759
139,536.8898480332869
140,536.9127592691834
141,536.9353553331556
142,536.9575973084278
143,536.979445365811
144,537.0008591078928
145,537.0217979098509
146,537.0422212521934
147,537.0620890411496
148,537.0813619130505
149,537.1000015198256
150,537.117970793563
151,537.1352341887455
152,537.1517579013129
153,537.1675100643726
154,537.1824609212944
155,537.1965829776298
156,537.2098511331911
157,537.2222427949247
158,537.2337379707471
159,537.24431934468
160,537.2539723339294
161,537.2626851283882
162,537.2704487122187
163,537.2772568660615
164,537.2831061477702
165,537.2879958500702
166,537.2919279350161
167,537.2949069464946
168,537.2969399022919
