frame_number,force
0,829.3790900082946
1,829.3479575300488
2,829.3169249461249
3,829.2860910796634
4,829.2555526320547
5,829.2254031712614
6,829.1957321737879
7,829.1666241316565
8,829.1381577335103
9,829.1104051280188
10,829.0834312775995
11,829.0572934104629
12,829.0320405786704
13,829.0077133289278
14,828.9843434909587
15,828.9619540854796
16,828.9405593502469
17,828.9201648788522
18,828.9007678636245
19,828.8823574317869
20,828.864915063138
21,828.8484150777382
22,828.832825182927
23,828.8181070698347
24,828.804217049888
25,828.7911067219376
26,828.7787236611074
27,828.7670121211056
28,828.7559137418361
29,828.7453682538265
30,828.7353141710538
31,828.725689464472
32,828.7164322092306
33,828.707481198772
34,828.6987765190262
35,828.6902600762636
36,828.6818760727895
37,828.6735714253751
38,828.6652961222455
39,828.6570035156672
40,828.6486505485565
41,828.6401979148413
42,828.6316101545801
43,828.6228556862302
44,828.6139067800171
45,828.6047394780747
46,828.5953334686033
47,828.5856719221019
48,828.5757412972736
49,828.5655311225681
50,828.5550337571999
51,828.5442441334482
52,828.5331594803545
53,828.5217790277311
54,828.5101036891027
55,828.4981357229971
56,828.4858783733561
57,828.4733354908783
58,828.4605111376462
59,828.4474091780462
60,828.4340328602269
61,828.4203843939126
62,828.4064645319351
63,828.3922721641264
64,828.3778039330303
65,828.363053881121
66,828.3480131387926
67,828.3326696612061
68,828.3170080203015
69,828.3010092565962
70,828.2846507943206
71,828.2679064227829
72,828.2507463458683
73,828.2331372997567
74,828.2150427364378
75,828.1964230682017
76,828.1772359669327
77,828.1574367121292
78,828.1369785826456
79,828.1158132881685
80,828.0938914364101
81,828.0711630305422
82,828.0475779889605
83,828.023086677081
84,827.9976404392036
85,827.9711921179364
86,827.9436965496858
87,827.9151110275516
88,827.8853957268863
89,827.8545140924268
90,827.8224331883774
91,827.7891240140029
92,827.7545617875319
93,827.7187262009246
94,827.6816016476891
95,827.6431774254953
96,827.6034479148371
97,827.5624127344613
98,827.5200768738027
99,827.4764508022315
100,827.4315505542743
101,827.3853977890627
102,827.3380198214261
103,827.289449621697
104,827.2397257815262
105,827.1888924438168
106,827.1369991963369
107,827.084100930192
108,827.030257665495
109,826.9755343472684
110,826.9200006153173
111,826.8637305522309
112,826.8068024129626
113,826.7492983375756
114,826.6913040467737
115,826.6329085187675
116,826.5742036458164
117,826.515283869076
118,826.4562457912817
119,826.3971877683415
120,826.3382094824946
121,826.2794115004497
122,826.2208948197518
123,826.1627604059017
124,826.105108721745
125,826.0480392497387
126,825.9916500073432
127,825.9360370560088
128,825.8812940046704
129,825.8275115091386
130,825.7747767695054
131,825.7231730286684
132,825.6727790759799
133,825.6236687605759
134,825.5759105192005
135,825.5295669235717
136,825.4846942528256
137,825.4413420973345
138,825.399553000683
139,825.3593621461916
140,825.3207970933036
141,825.2838775682844
142,825.2486153135005
143,825.2150139996547
144,825.1830692052469
145,825.1527684668545
146,825.1240914023854
147,825.0970099073129
148,825.0714884214769
149,825.0474842616103
150,825.0249480123814
151,825.0038239666238
152,824.9840506040348
153,824.9655610975155
154,824.948283837708
155,824.9321429686521
156,824.9170589297916
157,824.9029490009801
158,824.8897278475484
159,824.8773080622307
160,824.8656007004305
161,824.854515805495
162,824.8439629214881
163,824.8338515921629
164,824.8240918459597
165,824.8145946676078
166,824.8052724571153
167,824.7960394767786
168,824.7868122867155
169,824.7775101695114
170,824.7680555446423
171,824.7583743732446
172,824.7483965536632
173,824.7380563082885
174,824.727292562543
175,824.7160493172424
176,824.7042760154304
177,824.6919279035604
178,824.678966384394
179,824.6653593559514
180,824.6510815284574
181,824.6361147100937
182,824.6204480523834
183,824.6040782468893
184,824.5870096662541
185,824.5692544440376
186,824.5508324890338
187,824.5317714308308
188,824.5121064944702
189,824.4918803030555
190,824.4711426080898
191,824.4499499485499
192,824.4283652412284
193,824.4064573060958
194,824.3843003307985
195,824.3619732783947
196,824.3395592431121
197,824.3171447608805
198,824.2948190840887
199,824.2726734324258
200,824.2508002331845
201,824.2292923649208
202,824.2082424178446
203,824.1877419827398
204,824.1678809779004
205,824.1487470209499
206,824.1304248499084
207,824.1129957960314
208,824.0965373099801
209,824.0811225424252
210,824.066819979685
211,824.0536931343394
212,824.0418002900118
213,824.0311942985209
214,824.0219224263343
215,824.0140262462746
216,824.0075415704291
217,824.0024984210879
218,823.998921037277
219,823.9968279145216
220,823.9962318753961
221,823.9971401688946
222,823.9995545977415
223,824.0034716739577
224,824.0088828037916
225,824.0157745030617
226,824.0241286428712
227,824.0339227237585
228,824.0451301740623
229,824.0577206661383
230,824.0716604427361
231,824.0869126458102
232,824.103437641093
233,824.1211933330748
234,824.1401354661206
235,824.1602179085925
236,824.1813929184442
237,824.2036113905893
238,824.2268230879818
239,824.2509768594294
240,824.2760208471678
241,824.3019026857875
242,824.328569691868
243,824.3559690418756
244,824.3840479352962
245,824.4127537404619
246,824.44203412158
247,824.4718371468005
248,824.5021113787269
249,824.5328059504503
250,824.5638706314304
251,824.595255887743
252,824.6269129403154
253,824.6587938235451
254,824.6908514459166
255,824.7230396540383
256,824.755313301487
257,824.7876283235101
258,824.8199418179527
259,824.8522121320391
260,824.8843989540612
261,824.9164634084298
262,824.9483681518251
263,824.9800774675823
264,825.0115573554735
265,825.0427756148943
266,825.0737019208606
267,825.1043078937126
268,825.1345671646446
269,825.1644554399707
270,825.1939505671497
271,825.2230326047717
272,825.2516838970987
273,825.2798891519193
274,825.3076355189366
275,825.3349126650661
276,825.3617128429266
277,825.3880309490575
278,825.4138645682035
279,825.4392139991272
280,825.4640822564946
281,825.4884750435436
282,825.5124006919352
283,825.5358700678421
284,825.558896445762
285,825.5814953528862
286,825.6036843870476
287,825.6254830108712
288,825.646912324522
289,825.6679948197329
290,825.6887541183088
291,825.7092146985489
292,825.7294016130018
293,825.749340201011
294,825.7690557998777
295,825.7885734590592
296,825.8079176622874
297,825.8271120623268
298,825.846179232309
299,825.8651404368483
300,825.8840154260129
301,825.9028222555395
302,825.9215771367918
303,825.940294319321
304,825.958986007396
305,825.9776623098602
306,825.996331220527
307,826.0149986245862
308,826.033668325615
309,826.0523420879778
310,826.0710196904328
311,826.0896989881708
312,826.1083759816654
313,826.1270448914936
314,826.1456982391186
315,826.1643269349536
316,826.1829203764922
317,826.2014665601539
318,826.2199522102937
319,826.2383629277634
320,826.2566833589743
321,826.2748973848416
322,826.2929883272709
323,826.3109391691072
324,826.328732782094
325,826.3463521569112
326,826.363780630031
327,826.3810021038462
328,826.3980012588794
329,826.4147637591517
330,826.4312764528445
331,826.4475275693939
332,826.4635069116223
333,826.4792060389482
334,826.4946184362677
335,826.5097396628631
336,826.5245674761097
337,826.5391019253431
338,826.5533454119733
339,826.5673027131844
340,826.5809809685962
341,826.5943896317237
342,826.6075403899853
343,826.6204470573703
344,826.6331254423197
345,826.6455931906344
346,826.6578696008239
347,826.669975408605
348,826.6819325385915
349,826.6937638242373
350,826.7054927010747
351,826.7171428820898
352,826.7287380265134
353,826.7403014139077
354,826.7518556345199
355,826.7634223048352
356,826.7750218144047
357,826.7866731070094
358,826.7983934970661
359,826.8101985212455
360,826.8221018248603
361,826.834115081663
362,826.8462479438926
363,826.8585080171782
364,826.8709008531697
365,826.8834299523215
366,826.8960967701481
367,826.9089007218838
368,826.9218391822858
369,826.9349074791777
370,826.9480988811274
371,826.9614045810429
372,826.9748136782351
373,826.9883131617285
374,827.0018878976446
375,827.0155206237587
376,827.0291919549475
377,827.0428804039952
378,827.0565624226192
379,827.0702124673013
380,827.0838030937399
381,827.0973050828306
382,827.1106876001577
383,827.123918389658
384,827.136964000165
385,827.1497900412344
386,827.162361462883
387,827.1746428534021
388,827.1865987502712
389,827.1981939607757
390,827.2093938905131
391,827.2201648790223
392,827.2304745420256
393,827.2402921192258
394,827.2495888255776
395,827.2583382027641
396,827.2665164664937
397,827.2741028444019
398,827.2810798990164
399,827.2874338301899
400,827.2931547512927
401,827.2982369334015
402,827.3026790121824
403,827.306484153232
404,827.3096601728555
405,827.3122196120023
406,827.3141797612465
407,827.3155626348115
408,827.3163948923781
409,827.3167077090197
410,827.3165365955607
411,827.3159211730334
412,827.3149049050705
413,827.3135347912732
414,827.311861023866
415,827.3099366103086
416,827.3078169661154
417,827.3055594841655
418,827.3032230882234
419,827.3008677786071
420,827.2985541768691
421,827.2963430742778
422,827.2942949864398
423,827.2924697143725
424,827.2909259112764
425,827.2897206540703
426,827.2889090190062
427,827.2885436611662
428,827.2886743985638
429,827.2893478027788
430,827.2906067990323
431,827.2924902791051
432,827.2950327305698
433,827.2982638853659
434,827.3022083901099
435,827.3068855005779
436,827.3123088040877
437,827.3184859753098
438,827.3254185720822
439,827.3331018774838
440,827.3415247930225
441,827.350669785944
442,827.3605128919714
443,827.3710237735672
444,827.3821658329254
445,827.3938963778969
446,827.4061668376695
447,827.4189230235419
448,827.4321054291761
449,827.4456495646244
450,827.4594863190096
451,827.4735423474666
452,827.4877404784602
453,827.5020001378045
454,827.5162377858303
455,827.5303673643074
456,827.5443007500046
457,827.5579482123065
458,827.5712188732628
459,827.584021169559
460,827.5962633166595
461,827.6078537754844
462,827.618701721705
463,827.6287175174499
464,827.6378131849857
465,827.6459028814826
466,827.6529033731473
467,827.6587345059008
468,827.6633196685709
469,827.6665862434626
470,827.668466038553
471,827.6688956957761
472,827.6678170709324
473,827.6651775822288
474,827.6609305257314
475,827.6550353568235
476,827.6474579371969
477,827.6381707472474
478,827.6271530642887
479,827.6143911079005
480,827.5998781550174
481,827.5836146287279
482,827.5656081655706
483,827.5458736657612
484,827.5244333291379
485,827.5013166773061
486,827.4765605603286
487,827.4502091447371
488,827.4223138783545
489,827.392933426016
490,827.3621335690684
491,827.3299870613
492,827.2965734350563
493,827.2619787533282
494,827.2262953059025
495,827.1896212495413
496,827.1520601928572
497,827.1137207258705
498,827.074715893161
499,827.0351626094347
500,826.9951810177348
501,826.9548937928706
502,826.9144253951035
503,826.8739012812283
504,826.833447081611
505,826.7931877524686
506,826.7532467131607
507,826.7137449790567
508,826.67480030166
509,826.6365263284697
510,826.5990317950098
511,826.5624197603657
512,826.5267868956255
513,826.4922228323433
514,826.4588095762556
515,826.4266209902662
516,826.3957223500165
517,826.3661699751134
518,826.3380109395408
519,826.3112828657913
520,826.2860138081655
521,826.262222230806
522,826.2399170850307
523,826.2190979884023
524,826.1997555049311
525,826.1818715223835
526,826.1654197195132
527,826.1503661136677
528,826.1366696778975
529,826.1242830165343
530,826.1131530890216
531,826.1032219727517
532,826.0944276556947
533,826.0867048484914
534,826.0799858042384
535,826.0742011332078
536,826.0692805993751
537,826.065153885879
538,826.0617513176207
539,826.0590045313085
540,826.0568470862546
541,826.0552150125267
542,826.0540472957194
543,826.0532862992826
544,826.0528781261546
545,826.0527729216728
546,826.0529251193932
547,826.0532936306532
548,826.0538419777984
549,826.0545383705778
550,826.0553557257628
551,826.0562716313256
552,826.0572682578844
553,826.0583322208943
554,826.0594543972331
555,826.0606296999099
556,826.0618568149956
557,826.0631379054217
558,826.0644782868508
559,826.0658860814785
560,826.0673718563048
561,826.068948252735
562,826.0706296141502
563,826.0724316175229
564,826.0743709146763
565,826.0764647884951
566,826.0787308288262
567,826.081186631633
568,826.0838495235389
569,826.0867363129139
570,826.0898630682386
571,826.093244924097
572,826.0968959143623
573,826.1008288311149
574,826.1050551070007
575,826.1095847184231
576,826.1144261072903
577,826.1195861200118
578,826.1250699636834
579,826.1308811801905
580,826.1370216387875
581,826.1434915468604
582,826.1502894776606
583,826.1574124131542
584,826.1648557999534
585,826.1726136166641
586,826.1806784516752
587,826.1890415908367
588,826.1976931141354
589,826.2066219997166
590,826.2158162332317
591,826.2252629208998
592,826.2349484054009
593,826.2448583841057
594,826.254978028864
595,826.2652921057714
596,826.2757850925451
597,826.2864412907796
598,826.2972449302104
599,826.3081802617775
600,826.3192316358133
601,826.3303835615678
602,826.3416207449168
603,826.3529281024981
604,826.364290752574
605,826.3756939852548
606,826.3871232167545
607,826.3985639335868
608,826.4100016330744
609,826.4214217665545
610,826.4328096914626
611,826.4441506378721
612,826.455429693658
613,826.4666318103118
614,826.4777418291985
615,826.4887445262636
616,826.4996246718922
617,826.5103671017085
618,826.5209567938638
619,826.5313789487521
620,826.5416190672642
621,826.5516630229555
622,826.5614971224121
623,826.5711081478486
624,826.5804833771175
625,826.58961057843
626,826.5984779797517
627,826.6070742158146
628,826.6153882584944
629,826.6234093381412
630,826.6311268638838
631,826.6385303501086
632,826.6456093547639
633,826.6523534335051
634,826.6587521124077
635,826.6647948808269
636,826.6704712045045
637,826.6757705573643
638,826.6806824693905
639,826.6851965879264
640,826.6893027502564
641,826.6929910657852
642,826.6962520063427
643,826.6990765034194
644,826.7014560517391
645,826.7033828193852
646,826.7048497653059
647,826.7058507649031
648,826.7063807434478
649,826.7064358159574
650,826.7060134318858
651,826.7051125235777
652,826.7037336580581
653,826.7018791915283
654,826.6995534249464
655,826.6967627579003
656,826.693515837127
657,826.6898236956827
658,826.6856998787405
659,826.6811605519639
660,826.6762245879422
661,826.6709136254655
662,826.6652520962053
663,826.6592672143003
664,826.6529889262723
665,826.646449820951
666,826.6396850010424
667,826.63273191935
668,826.6256301832224
669,826.6184213303839
670,826.61114857792
671,826.6038565443996
672,826.596590943976
673,826.5893982516126
674,826.5823253402604
675,826.5754190930174
676,826.5687259951131
677,826.562291711674
678,826.5561606578633
679,826.5503755682242
680,826.5449770717042
681,826.5400032779914
682,826.5354893800117
683,826.5314672770675
684,826.5279652229145
685,826.5250075025793
686,826.5226141407388
687,826.5208006431322
688,826.5195777710401
689,826.5189513477767
690,826.5189220959913
691,826.5194855057949
692,826.5206317359279
693,826.5223455522796
694,826.5246063088944
695,826.5273879757355
696,826.5306592152002
697,826.5343835065195
698,826.538519314849
699,826.5430203010388
700,826.5478355688607
701,826.5529099480873
702,826.5581843131054
703,826.5635959370413
704,826.5690788807257
705,826.5745644147256
706,826.5799814717487
707,826.5852571264143
708,826.5903170996137
709,826.5950862846609
710,826.5994892916151
711,826.6034510049763
712,826.6068971494002
713,826.6097548585215
714,826.6119532428289
715,826.6134239531685
716,826.6141017366318
717,826.6139249812344
718,826.6128362448615
719,826.6107827630357
720,826.6077169300434
721,826.6035967488417
722,826.5983862460877
723,826.5920558490313
724,826.5845827210173
725,826.5759510521759
726,826.5661523016614
727,826.5551853876804
728,826.5430568216126
729,826.5297807826851
730,826.5153791297054
731,826.4998813462433
732,826.4833244157036
733,826.4657526234895
734,826.4472172850026
735,826.4277764002304
736,826.4074942377475
737,826.3864408528704
738,826.3646915463986
739,826.3423262720496
740,826.319429002589
741,826.2960870666097
742,826.2723904691151
743,826.2484312087229
744,826.2243026025153
745,826.2000986271845
746,826.1759132830647
747,826.1518399862907
748,826.127970993542
749,826.1043968630004
750,826.0812059537341
751,826.0584839637056
752,826.0363135046276
753,826.0147737108384
754,825.9939398795668
755,825.9738831407682
756,825.9546701550427
757,825.9363628377032
758,825.9190181063623
759,825.9026876489929
760,825.8874177096152
761,825.8732488898287
762,825.8602159661075
763,825.8483477243794
764,825.8376668142976
765,825.8281896255602
766,825.8199261877447
767,825.8128800938753
768,825.8070484469804
769,825.8024218286497
770,825.7989842890638
771,825.7967133587326
772,825.7955800826754
773,825.7955490777899
774,825.7965786140851
775,825.7986207208302
776,825.8016213196775
777,825.8055203880044
778,825.810252156459
779,825.8157453445767
780,825.8219234373634
781,825.8287050042132
782,825.8360040599013
783,825.843730466103
784,825.8517903712259
785,825.8600866864278
786,825.8685195965958
787,825.876987106302
788,825.8853856214361
789,825.8936105667772
790,825.9015570384458
791,825.909120488641
792,825.9161974388772
793,825.9226862172054
794,825.9284877141617
795,825.9335061508556
796,825.9376498507228
797,825.9408320047912
798,825.9429714194866
799,825.9439932360583
800,825.9438296112627
801,825.9424203497326
802,825.9397134793135
803,825.9356657615768
804,825.9302431310053
805,825.9234210579654
806,825.9151848320154
807,825.9055297628666
808,825.8944612966555
809,825.8819950454726
810,825.8681567284316
811,825.8529820231188
812,825.8365163272051
813,825.8188144314674
814,825.7999401076246
815,825.7799656172891
816,825.7589711512164
817,825.7370442099013
818,825.7142789371272
819,825.6907754176792
820,825.6666389493917
821,825.6419792981765
822,825.616909942965
823,825.5915473159009
824,825.5660100418146
825,825.5404181800385
826,825.5148924709716
827,825.4895535893799
828,825.4645214062613
829,825.4399142614509
830,825.4158482500876
831,825.3924365270726
832,825.3697886340068
833,825.3480098527112
834,825.327200589055
835,825.3074557911699
836,825.2888644070415
837,825.2715088870868
838,825.2554647370989
839,825.2408001262029
840,825.227575553817
841,825.2158435790724
842,825.2056486153591
843,825.1970267914999
844,825.1900058795139
845,825.1846052870496
846,825.1808361108314
847,825.1787012468027
848,825.1781955533713
849,825.1793060655267
850,825.1820122586882
851,825.1862863615682
852,825.1920937171725
853,825.1993931904499
854,825.2081376202191
855,825.2182743122258
856,825.2297455696798
857,825.2424892571348
858,825.2564393929769
859,825.2715267654808
860,825.2876795676249
861,825.3048240461837
862,825.3228851605007
863,825.3417872458764
864,825.361454675984
865,825.3818125179755
866,825.402787172649
867,825.4243069905608
868,825.4463028543994
869,825.4687087190094
870,825.4914621026389
871,825.5145045251068
872,825.5377818901419
873,825.5612448105572
874,825.5848488766962
875,825.6085548705039
876,825.6323289288856
877,825.6561426603309
878,825.6799732184014
879,825.7038033350354
880,825.7276213157123
881,825.7514209971974
882,825.7752016670687
883,825.7989679431203
884,825.8227296107159
885,825.8465014174213
886,825.8703028261993
887,825.89415773005
888,825.9180941316064
889,825.9421437909606
890,825.9663418442354
891,825.9907263945234
892,826.0153380763301
893,826.040219595046
894,826.065415244159
895,826.0909704043536
896,826.116931029725
897,826.1433431267665
898,826.1702522314906
899,826.1977028889268
900,826.2257381374319
901,826.254398998495
902,826.2837239719717
903,826.3137485371294
904,826.3445046607359
905,826.3760203140666
