Time	Raw	5Hz	25Hz	50Hz	100Hz	200Hz	500Hz	1000Hz
0	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0005	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.001	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0015	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.002	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0025	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.003	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0035	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.004	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0045	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.005	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0055	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.006	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0065	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.007	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0075	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.008	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0085	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.009	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0095	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.01	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0105	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.011	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0115	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.012	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
0.0125	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294	499.13294
