sport,cutoff_type,jump_type,trial_num_in_block,overall_recording_number,cutoff_frequency,PID,propulsive_peakforce_rfd_slope_between_events,propulsive_peakforce_rfd_instantaneous_average_between_events,propulsive_peakforce_rfd_instantaneous_peak_between_events,braking_peakforce_rfd_slope_between_events,braking_peakforce_rfd_instantaneous_average_between_events,braking_peakforce_rfd_instantaneous_peak_between_events,braking_propulsive_rfd_slope_between_events,braking_propulsive_rfd_instantaneous_average_between_events,braking_propulsive_rfd_instantaneous_peak_between_events,braking_net_vertical_impulse,propulsive_net_vertical_impulse,braking_to_propulsive_net_vertical_impulse,total_net_vertical_impulse,peak_force,maximum_force,average_force_of_braking_phase,average_force_of_propulsive_phase,takeoff_velocity,jump_height_takeoff_velocity,jump_height_net_vertical_impulse,movement_time,unweighting_time,braking_time,propulsive_time,lowering_displacement,frame_start_of_unweighting_phase,frame_start_of_breaking_phase,frame_start_of_propulsive_phase,frame_peak_force
FHOC,literature_cutoff,CMJ,1,2,50,P01,-979.365202275291,-981.7291975696024,3236.682687251363,1935.106504843682,1948.5367549091884,11172.24220172281,6046.248714223425,6081.9582640349,11172.24220172281,226.8146820389053,134.61532014583508,91.2886413154784,157.2538855307538,1344.1968603130567,1556.221504860568,1250.0847170025847,1167.098788606678,2.4009682548500506,0.29381491135564203,0.2938149113556422,0.775,0.322,0.151,0.302,-0.3285973011164082,1224,1546,1697,1910
FHOC,literature_cutoff,CMJ,2,4,50,P01,-1225.9249528914706,-1232.8813268804395,4112.807800572482,2019.7820443694648,2035.7504660129807,15469.081112078275,6808.902159209028,6858.696677904671,15469.081112078275,240.46597493545096,138.32498624445637,101.16787277279657,159.28981193085423,1355.0522205903906,1646.1212655961567,1352.8917623694163,1177.2157397166532,2.4339185344517027,0.30193473151618366,0.3019347315161846,0.75,0.307,0.143,0.3,-0.3505908466506635,1249,1556,1699,1910
FHOC,literature_cutoff,CMJ,3,5,50,P01,-1253.5264440069282,-1258.124773141911,3685.2117489833618,1852.6239085009984,1870.5080770979068,16644.83076399425,6761.644745331708,6815.060693560836,16644.83076399425,243.32466358830214,140.52745239108103,101.82531319874035,161.76184687251273,1328.355282155703,1632.802569124614,1356.2270377730024,1161.4978608411789,2.476618059348605,0.312621662175925,0.3126216621759246,0.773,0.317,0.143,0.313,-0.352808982022201,1226,1543,1686,1912
FHOC,literature_cutoff,CMJ,4,8,50,P01,-1625.63218879746,-1635.3006115684552,3397.056756856735,1716.5773456409568,1756.9077161435685,32036.275013202976,6357.352367982197,6467.107814495295,32036.275013202976,247.30280915172045,139.48704484776928,106.80683649690805,157.7812044547719,1294.584543155272,1676.7322361898134,1325.633839645361,1168.2529355424906,2.4106257256169665,0.2961833021919636,0.29618330219196404,0.761,0.302,0.157,0.302,-0.34473531597190915,1238,1540,1697,1915
FHOC,literature_cutoff,CMJ,5,9,50,P01,-1036.6264035220852,-1041.4258908391732,3038.9754463833524,1623.2699472558463,1666.5614669338906,35079.02841505146,4970.062608399508,5073.864241274724,35079.02841505146,246.09886304523383,140.3101106779215,104.88081892401541,159.66808128697846,1311.0163423950783,1612.3603658340148,1220.32998456246,1151.3776079783686,2.441468345016562,0.303810788976448,0.30381078897644825,0.78,0.284,0.182,0.314,-0.3576720220312596,1219,1503,1685,1914
FHOC,literature_cutoff,CMJ,6,11,50,P01,-780.3752598284432,-793.8695969816689,5287.473715208704,1838.5245442437974,1904.3179459404441,69553.72115127608,5637.545864965875,5818.355431043508,69553.72115127608,249.29109122728264,135.44454961317552,112.9462968902027,152.05383529061842,1355.2503008401986,1611.6422759908196,1341.4322478532474,1107.3262958401156,2.325269994428493,0.27558004826653837,0.2755800482665374,0.793,0.302,0.162,0.329,-0.35744017600829237,1206,1508,1670,1905
FHOC,literature_cutoff,CMJ,7,14,50,P01,-637.524529025113,-640.372289895818,5769.269898395287,1768.5968239847007,1774.225310049943,11164.36727344233,5168.864125244078,5186.471020152935,11164.36727344233,233.50532201565647,135.25820468802968,97.38396011430495,156.15257261824982,1353.803309982521,1530.0817964420803,1227.4416832188474,1129.2258922079104,2.387110704496766,0.29043310476672,0.2904331047667197,0.8,0.312,0.167,0.321,-0.35742867339217843,1199,1511,1678,1914
FHOC,literature_cutoff,CMJ,8,17,50,P01,-896.6425441578609,-897.7840185833568,3658.330770564615,1728.235363676484,1738.7358362320388,13015.031882068084,5468.686382340426,5495.776629343977,13015.031882068084,232.9934657998894,135.34850111180836,96.7688811929209,156.0342790400556,1312.9721449094661,1520.6638094678417,1249.120438991083,1139.8904451257629,2.385846164229043,0.29012548009003253,0.2901254800900322,0.867,0.393,0.16,0.314,-0.3485739620332515,1132,1525,1685,1913
FHOC,literature_cutoff,CMJ,9,18,50,P01,-820.7466253523074,-826.8088817667602,3994.2761737746187,1711.4542048710045,1725.5480904053397,12831.968916372978,5446.4504294503895,5490.274624359187,12831.968916372978,234.10072918115003,134.2079932158314,99.02063643258089,150.99661157931376,1318.8884073757595,1542.5050986891245,1263.3996303529123,1118.4494665377772,2.308027929933077,0.2715083040444018,0.2715083040444018,0.798,0.32,0.16,0.318,-0.3651806585362525,1201,1521,1681,1917
FHOC,literature_cutoff,CMJ,1,4,50,P02,115.09966906413241,119.27520739028317,2726.573223800864,847.4200518122242,848.6663890510159,4137.449672502466,1409.737488565223,1408.7346178262214,4137.449672502466,158.45136777358783,111.76681399599501,46.21156010457411,123.32960517899718,1085.6670383382193,1085.9639768720147,720.1367873078796,943.1967738964147,2.0791620561063087,0.22033205176107098,0.22033205176107118,1.062,0.383,0.336,0.343,-0.3331466138538793,937,1320,1656,1914
FHOC,literature_cutoff,CMJ,2,6,50,P02,-35.28463549988901,-34.28804118493363,3504.869927442749,1434.4340564264621,1436.5717873693131,5366.216854358965,3245.9477929868485,3249.492041168734,5366.216854358965,153.2455214105827,101.42485891693165,51.26289703067007,121.47545726048091,1132.0432319945323,1140.665292706985,881.1988692041352,978.7025096575405,2.0491736518572803,0.21402205175668207,0.21402205175668215,0.943,0.464,0.172,0.307,-0.2961777397938332,1056,1520,1692,1904
FHOC,literature_cutoff,CMJ,3,7,50,P02,-130.462310861853,-131.07621836163136,3316.11304467381,1362.8551241161992,1366.6126022530211,5231.592887705134,3411.8255581558524,3421.5809840266147,5231.592887705134,168.05316959561068,107.27417928869593,60.1913028004428,123.5449014505557,1138.0011107020746,1169.2833948840748,932.8926310490576,966.0380025321191,2.0851825323617077,0.22160989771999917,0.2216098977199991,0.954,0.46,0.172,0.322,-0.3113837982635125,1045,1505,1677,1913
FHOC,literature_cutoff,CMJ,4,10,50,P02,-37.04847720594208,-37.71475404295018,3553.694383954862,1217.4833704706082,1219.9418385181623,3880.742534433026,2709.1903933297895,2715.3643540510275,3880.742534433026,166.03229437532661,105.01904476044147,60.46931522833296,118.49588432950752,1115.874632040477,1125.3093057108929,883.1174969510836,934.3033852694367,2.0010284520789576,0.2040833265050718,0.20408332650507208,0.933,0.395,0.201,0.337,-0.3187018785433524,1066,1461,1662,1901
FHOC,literature_cutoff,CMJ,5,11,50,P02,62.232618645198926,63.73420002966423,3045.673279110051,1098.2318463205677,1101.7325351077945,3779.1404472754803,2549.7099309282457,2556.011452482883,3779.1404472754803,165.1751133503618,108.37799257055258,56.30913125661378,120.5775895608317,1086.2477308728871,1086.2477308728871,875.6384887890964,923.862257245295,2.035581343233087,0.21119222247291633,0.21119222247291605,1.063,0.518,0.192,0.353,-0.3328626401144633,936,1454,1646,1915
FHOC,literature_cutoff,CMJ,6,12,50,P02,518.3365592308483,520.563867852989,4299.113414927851,866.4274864576178,870.1527662213258,4585.064945662976,1212.2283417947374,1217.441737626713,4585.064945662976,168.2539110686484,105.33595285372004,62.54897964001776,119.26643827440593,1107.81545690813,1107.81545690813,787.9620595155784,886.3835625963064,2.011694177479008,0.2062647025332794,0.20626470253327983,1.066,0.369,0.304,0.393,-0.36018185979240097,933,1302,1606,1908
FHOC,literature_cutoff,CMJ,7,14,50,P02,134.93077847826692,134.23593078228026,3503.715690764715,1176.4037723920064,1179.6433129961704,3687.193882737076,2484.5341029116794,2492.7153872744866,3687.193882737076,164.00573475082751,106.33876633089181,57.15281869588657,120.93148063130218,1130.4232968782612,1130.4232968782612,858.7054867536509,929.7660085723409,2.040613316552489,0.21223765074879453,0.21223765074879433,0.994,0.439,0.207,0.348,-0.3246878943179812,1005,1444,1651,1911
FHOC,literature_cutoff,CMJ,8,16,50,P02,143.78824810157818,143.31800506467172,4208.220033946331,1124.3063507430884,1127.5468191039095,4401.435709007375,2309.8418748460053,2317.568930624079,4401.435709007375,168.15977115903812,104.00270953085588,63.64970739119996,120.01952555138078,1127.3669257772892,1127.3669257772892,872.2779997232395,922.67773418558,2.0236704786658164,0.20872794119386004,0.20872794119386004,0.967,0.393,0.22,0.354,-0.3340229307775322,1032,1425,1645,1911
FHOC,literature_cutoff,CMJ,9,17,50,P02,125.59792513160929,125.04444655773469,4162.1625235275715,1057.8521564381256,1061.3434429982306,4162.1625235275715,2285.1776811398236,2293.993956660718,3818.780996095855,174.07790809788577,107.50085356929483,66.07915809800679,120.85801363743616,1114.8359058932879,1114.8359058932879,885.253550673464,899.4960932620536,2.040660292583429,0.21224742251410225,0.21224742251410206,1.1,0.501,0.218,0.381,-0.3562558022655174,899,1400,1618,1905
FHOC,literature_cutoff,CMJ,10,20,50,P02,234.22362390908066,234.06528729543908,4093.577618565352,977.8919231965666,978.1594964474235,4121.073218247213,1856.500034854766,1857.270800001986,4121.073218247213,155.3575229973615,105.76325699881217,49.13394800223972,120.14285121709194,1110.9766907228086,1110.9766907228086,781.0483392688616,892.490661212759,2.0250892735211017,0.20902072200459854,0.20902072200459826,1.165,0.529,0.248,0.388,-0.3596092663531847,834,1363,1611,1904
FHOC,literature_cutoff,CMJ,1,2,50,P03,-30.075537641635513,-28.8478957295157,2670.0885403701104,1183.9570004400923,1190.2445068681993,6036.437843290158,2634.0514209266003,2646.3826544154704,6036.437843290158,195.3011731038145,121.44433865986429,73.28877718536575,137.70445487402904,1213.5095428948166,1225.1268908506863,993.4717993128402,1057.9950594135844,2.0691766950700807,0.21822080506733646,0.21822080506733665,0.944,0.387,0.216,0.341,-0.3197484037174443,1055,1442,1658,1916
FHOC,literature_cutoff,CMJ,2,3,50,P03,-726.0543339789328,-724.6700962743452,2557.9908042600146,1186.0351812041715,1189.3246483037487,5338.035302807402,3877.9153925234023,3883.8870820114557,5338.035302807402,191.94911739660427,124.43778858593177,66.81767106054444,136.28573390892268,1163.6300239651189,1350.0731892679516,1027.7860777982291,1065.1847999764925,2.048775853982854,0.21393896533451437,0.21393896533451418,0.905,0.394,0.179,0.332,-0.3228620053981539,1094,1488,1667,1919
FHOC,literature_cutoff,CMJ,3,6,50,P03,-979.3849846444381,-982.8109500096954,2978.577652096399,1387.8349271760803,1397.86663558601,11269.98525087448,4835.098923764711,4864.728369609757,11269.98525087448,212.97282626510417,122.7933006786144,89.40364860206662,134.22492616546,1200.6413858692472,1443.1898575579683,1214.959496289149,1087.4503504621787,2.0141283873303184,0.2067641774031513,0.20676417740315184,0.768,0.297,0.16,0.311,-0.30946865490479764,1231,1528,1688,1921
FHOC,literature_cutoff,CMJ,4,9,50,P03,,,,5290.787472361733,5310.562977477816,8196.783619934984,5290.787472361733,5310.562977477816,8196.783619934984,77.29674459223273,,77.29674459223273,133.83563482503214,1473.756719277434,1473.756719277434,1154.6562356620243,1125.7838976392072,2.0096240889037973,0.20584041685537297,0.2058404168553727,0.785,0.346,0.155,0.284,-0.28145152934474454,1214,1560,1715,1715
