sport,cutoff_type,jump_type,trial_num_in_block,overall_recording_number,cutoff_frequency,PID,propulsive_peakforce_rfd_slope_between_events,propulsive_peakforce_rfd_instantaneous_average_between_events,propulsive_peakforce_rfd_instantaneous_peak_between_events,total_net_vertical_impulse,peak_force,maximum_force,average_force_of_propulsive_phase,takeoff_velocity,jump_height_takeoff_velocity,jump_height_net_vertical_impulse,movement_time,propulsive_time,frame_start_of_propulsive_phase,frame_peak_force,frame_of_potential_unweighting_start
FHOC,literature_cutoff,SQT,1,3,50,P01,3165.8941618464814,3168.666338584471,7241.562366788625,151.26532456117664,1559.1354816344979,1559.1354816344979,1038.1237336578804,2.3096541741368966,0.27189105015840925,0.2718910501584097,0.389,0.389,1610,1894,-1
FHOC,literature_cutoff,SQT,2,6,50,P01,2495.275454916528,2498.6290725931426,4672.496037383564,154.42541774043912,1434.7035397121326,1434.7035397121326,1036.8869941662792,2.3581626390099766,0.2834317549450814,0.28343175494508205,0.42,0.42,1579,1893,1072
FHOC,literature_cutoff,SQT,3,7,50,P01,2666.9124010798373,2669.370774290545,4577.963685457071,150.8613426192516,1453.2869156700888,1453.2869156700888,1052.4320349179334,2.298148796392078,0.26918898523742896,0.26918898523742885,0.388,0.388,1611,1908,1382
FHOC,literature_cutoff,SQT,4,10,50,P01,2571.879435440285,2577.8503210219164,5885.244557483413,151.68372202104345,1446.6265928719781,1446.6265928719781,1061.0454500715723,2.3178658449929714,0.27382783258842924,0.2738278325884291,0.4,0.4,1599,1900,1343
FHOC,literature_cutoff,SQT,5,12,50,P01,2891.069660341992,2893.708947239349,4995.448239319259,147.48696471035606,1478.555481749832,1478.555481749832,1022.6356098935277,2.2537471391190707,0.2588876741634758,0.25888767416347636,0.392,0.392,1607,1887,-1
FHOC,literature_cutoff,SQT,6,13,50,P01,2737.7929323688354,2742.282472460823,5667.93241291889,151.60010970422204,1446.4245816867183,1446.4245816867183,1068.9285342657308,2.3161601748497613,0.27342497225076845,0.2734249722507686,0.389,0.389,1610,1896,1362
FHOC,literature_cutoff,SQT,7,15,50,P01,2673.8253623595897,2675.680393033594,4268.3689080979675,146.76147749426383,1452.9495661922454,1452.9495661922454,1020.397966828738,2.2419834916526744,0.2561921496861935,0.2561921496861939,0.403,0.403,1596,1889,1433
FHOC,literature_cutoff,SQT,8,16,50,P01,2566.7217122069487,2568.725091328941,4705.897523545544,143.5357586136346,1433.2036959227,1433.2036959227,1010.1626395410397,2.20100819887447,0.2469132054797471,0.24691320547974752,0.386,0.386,1613,1908,-1
FHOC,literature_cutoff,SQT,9,19,50,P01,2577.533383166065,2579.1451964366406,4734.391033187974,149.05325566413973,1364.5628814232234,1364.5628814232234,1034.8817010730147,2.285303786576551,0.26618824653114787,0.2661882465311478,0.382,0.382,1617,1883,-1
FHOC,literature_cutoff,SQT,10,20,50,P01,2514.2515936097975,2515.2712010069595,6800.793682499789,143.61323444570536,1487.9507151420435,1487.9507151420435,990.3667853224084,2.1880994616886245,0.24402544618970684,0.24402544618970662,0.428,0.428,1571,1896,-1
FHOC,literature_cutoff,SQT,1,2,50,P02,1850.6816673679036,1853.797698157185,5254.681739219872,125.2557269132585,1158.8321909815816,1158.8321909815816,900.1735350302016,2.111436197138525,0.22722542378118224,0.22722542378118252,0.413,0.413,1586,1903,1272
FHOC,literature_cutoff,SQT,2,3,50,P02,1962.5640575981379,1964.7829981595703,4616.168469511322,119.55978029740093,1174.0108944520614,1174.0108944520614,888.8545667414438,2.013701768888987,0.20667659602582236,0.20667659602582264,0.395,0.395,1604,1900,-1
