frame_number,force
0,578.5767300000169
1,578.6125089207471
2,578.6474529594268
3,578.6810470625873
4,578.7133714799257
5,578.7452688248048
6,578.7783382312199
7,578.8147345351696
8,578.8568145944779
9,578.9067201225957
10,578.9659953647647
11,579.035309525555
12,579.1143037039757
13,579.2015388385071
14,579.29451264022
15,579.3897381509717
16,579.4829017854242
17,579.5691192545481
18,579.6432918599215
19,579.7005521854455
20,579.7367750691485
21,579.7491042324413
22,579.7364143745156
23,579.6996176506
24,579.6417467067937
25,579.5677958394873
26,579.4843525616324
27,579.3990765870884
28,579.3200760292781
29,579.2552151504157
30,579.2113916531657
31,579.1938477619248
32,579.2056092480148
33,579.2471565720598
34,579.3164082212228
35,579.4090374446366
36,579.5190651225231
37,579.6396071088992
38,579.7636378562083
39,579.8846644516739
40,579.997255140767
41,580.0974029306112
42,580.1827158032153
43,580.2524205265161
44,580.307174003871
45,580.3487096816035
46,580.3793885489703
47,580.40174570861
48,580.4181145301678
49,580.4303786050776
50,580.4398590768234
51,580.4473058692187
52,580.4529436987926
53,580.4565391476599
54,580.4574910823027
55,580.4549670936084
56,580.4480874075825
57,580.4361118365348
58,580.4185622023845
59,580.3952427963904
60,580.3661862799232
61,580.3316007033567
62,580.2918883001082
63,580.2477556142431
64,580.2003769964347
65,580.1515448421075
66,580.1037437443728
67,580.0601063040251
68,580.024237756838
69,579.9999286779394
70,579.9907935335187
71,579.9998723499955
72,580.0292299319672
73,580.0795947019459
74,580.1500883274883
75,580.2380923092767
76,580.3392776010244
77,580.447800278075
78,580.556649027701
79,580.6581182723801
80,580.7443710503262
81,580.8080478400268
82,580.8428737052245
83,580.8442154772206
84,580.8095337200748
85,580.7386594276539
86,580.6338257239825
87,580.4994220270974
88,580.3414965764545
89,580.1670766298529
90,579.9833926686111
91,579.7971027772134
92,579.6136313150395
93,579.4367494332437
94,579.2685034997023
95,579.1095241915632
96,578.9596423629093
97,578.8186422261375
98,578.6869384337288
99,578.5659866226823
100,578.4583169453851
101,578.3671907992881
102,578.2959867262963
103,578.247488342003
104,578.2232564907829
105,578.2232211761377
106,578.2455485095634
107,578.2867626099616
108,578.3420645424916
109,578.4057886419323
110,578.4719407330614
111,578.534753189229
112,578.5891810338982
113,578.6312730749546
114,578.6583845706664
115,578.6692355230848
116,578.6638419377155
117,578.6433534376209
118,578.6098339807761
119,578.5660320541671
120,578.5151900144477
121,578.4609206843943
122,578.4071336152301
123,578.3579492675048
124,578.317529552552
125,578.2897885174386
126,578.2780048983756
127,578.2844058385413
128,578.3098101341071
129,578.3534066627942
130,578.4127077185952
131,578.4836812116828
132,578.561051237544
133,578.638756670217
134,578.710545280322
135,578.7706431749183
136,578.8143933262112
137,578.8387347748454
138,578.8424161397328
139,578.8259003880164
140,578.791001981011
141,578.7403725185476
142,578.6769873860688
143,578.6037707063775
144,578.5234376410112
145,578.4385510606074
146,578.3517092866239
147,578.2657362169413
148,578.1837587081643
149,578.1091177167378
150,578.0451281420677
151,577.994742383791
152,577.9601816964741
153,577.9425973674894
154,577.941824201726
155,577.956284254436
156,577.9830727085268
157,578.0182110874713
158,578.0570105914086
159,578.0944724360928
160,578.1256614906661
161,578.1460138812656
162,578.1515710963821
163,578.1391578910007
164,578.1065234178062
165,578.0524518440379
166,577.9768418944391
167,577.8807579316696
168,577.7664537998972
169,577.6373574138781
170,577.4979853593289
171,577.3537441515151
172,577.2105831222246
173,577.0745044880434
174,576.9509985021378
175,576.844519992045
176,576.7581235286067
177,576.6933271820681
178,576.6502091191668
179,576.6276893015715
180,576.62392409858
181,576.6367392935288
182,576.6640328365021
183,576.7040860415769
184,576.7557366989616
185,576.8183961309226
186,576.8919295698128
187,576.9764512778057
188,577.0720997291437
189,577.1788513415027
190,577.2964092449585
191,577.4241721153555
192,577.5612560678953
193,577.7065260976233
194,577.8586011430622
195,578.0158181358219
196,578.1761616830513
197,578.337184864493
198,578.495961876601
199,578.6491172452369
200,578.7929638660136
201,578.9237567885233
202,579.0380412432978
203,579.1330534709509
204,579.2071265863998
205,579.2600520386475
206,579.2933345120429
207,579.3102565771335
208,579.3156695222816
209,579.3154748262489
210,579.3158447553691
211,579.3223150439519
212,579.338935672612
213,579.3676632679501
214,579.4081139451672
215,579.4576958137537
216,579.5120526514079
217,579.5657037246731
218,579.6127579315232
219,579.647599510773
220,579.6654748248377
221,579.6629417316698
222,579.6381662542506
223,579.5910675156348
224,579.5233224988684
225,579.4382442787686
226,579.3405467323254
227,579.2360162633225
228,579.1311235411941
229,579.0326106738975
230,578.9470780665956
231,578.8805839873106
232,578.8382691329389
233,578.8240230096842
234,578.8402101269846
235,578.887473963413
236,578.9646410875787
237,579.0687533507553
238,579.195251421503
239,579.338308062982
240,579.491269010258
241,579.6471305296004
242,579.7989934672275
243,579.9404760774768
244,580.0661031460114
245,580.171684658102
246,580.2546532485406
247,580.3142792867219
248,580.3516728388691
249,580.3695323262353
250,580.3716788789682
251,580.3624723476136
252,580.3462179474817
253,580.3266560962356
254,580.3066049848007
255,580.2878035888796
256,580.270972351044
257,580.2560599447879
258,580.2425931212309
259,580.2300272569748
260,580.2180187860316
261,580.2065809704408
262,580.19611381716
263,580.1873136471509
264,580.1809790085479
265,580.1777465735224
266,580.1778101429221
267,580.1806848147233
268,580.1850698495169
269,580.1888440440238
270,580.1892032758357
271,580.1829214477189
272,580.1666900712883
273,580.1374837547845
274,580.0929107968866
275,580.0315237335951
276,579.9530718775902
277,579.8586755708842
278,579.7508936842266
279,579.633652003595
280,579.5120122687009
281,579.391788411668
282,579.2790432250072
283,579.1795147487089
284,579.0980321116037
285,579.0379926787446
286,579.0009773103069
287,578.9865618513496
288,578.9923427391958
289,579.0141581738386
290,579.046473617981
291,579.0829011259963
292,579.1168124417686
293,579.1419841940371
294,579.1532004941448
295,579.1467472378732
296,579.1207542594263
297,579.075355445155
298,579.0126349473129
299,578.9363298636597
300,578.8512945567164
301,578.7627975585285
302,578.6757828737611
303,578.5942468121224
304,578.5208474313235
305,578.4567898218461
306,578.4019495013067
307,578.3551475677502
308,578.3144933639074
309,578.27774202213
310,578.2426365680775
311,578.2072024736889
312,578.1699565077548
313,578.1300054119313
314,578.0870431043365
315,578.041288150652
316,577.9934158645327
317,577.9445216335212
318,577.8961116781868
319,577.8500804545678
320,577.808625830125
321,577.7740763195353
322,577.7486397375218
323,577.7341088294461
324,577.7315681605477
325,577.7411428843831
326,577.7618256218403
327,577.7914174640451
328,577.8266139325873
329,577.8632430092287
330,577.896621404594
331,577.9219597049281
332,577.9347424876238
333,577.9310390689353
334,577.9077406463362
335,577.8627433627532
336,577.795096549403
337,577.7051173889174
338,577.5944475959826
339,577.4660135837728
340,577.3238681329584
341,577.1729309666553
342,577.0186747427573
343,576.8667985951522
344,576.7229028468538
345,576.5921568771709
346,576.4789600685319
347,576.3866252950833
348,576.3171360890582
349,576.2710234477902
350,576.247383706407
351,576.2440342854487
352,576.2577884378019
353,576.2848182057746
354,576.3210629306453
355,576.3626357317235
356,576.4061864485409
357,576.44918789891
358,576.4901149903
359,576.5284874585395
360,576.5647555153296
361,576.6000284741709
362,576.6356801871561
363,576.6729051053625
364,576.7123271018033
365,576.7537582714481
366,576.7961609293395
367,576.837804066801
368,576.8765575160253
369,576.9102510509979
370,576.9370372462066
371,576.9557160453425
372,576.9659892225742
373,576.9686166013688
374,576.9654514174125
375,576.9593391394241
376,576.9538741381057
377,576.9530312911207
378,576.9607250699171
379,576.9803795306328
380,577.0145958154468
381,577.0649680176384
382,577.1320394261808
383,577.2153473400856
384,577.3135041769928
385,577.4242973577556
386,577.5448245521203
387,577.6716840863346
388,577.8012142713834
389,577.9297496481565
390,578.053862983807
391,578.1705862341327
392,578.2776242526477
393,578.3735661124036
394,578.4580596222803
395,578.5318742547475
396,578.5967756630195
397,578.655187060192
398,578.7096946603921
399,578.7625181518996
400,578.815077330505
401,578.8677480003598
402,578.9198505263787
403,578.9698754215649
404,579.0159093750314
405,579.0561704292644
406,579.0895155851947
407,579.1157835033246
408,579.1358862410486
409,579.1516397355439
410,579.1653886914202
411,579.179521566467
412,579.1959869654955
413,579.2159178526823
414,579.2394442226207
415,579.2657290839069
416,579.2932053909446
417,579.3199395022114
418,579.3440189814592
419,579.3638706254031
420,579.3784516012408
421,579.387299572048
422,579.3904580043552
423,579.388312053761
424,579.3813904406861
425,579.370207734515
426,579.3552176255054
427,579.3369061691868
428,579.3159956404113
429,579.293692565228
430,579.2719056501312
431,579.2533601829119
432,579.2415420918617
433,579.2404382694093
434,579.2541037372969
435,579.286150737022
436,579.3392850244968
437,579.4149984137108
438,579.5134733742477
439,579.6336849793034
440,579.7736239268747
441,579.9305360801973
442,580.1010857166823
443,580.2813915074967
444,580.4669447604141
445,580.6524836138104
446,580.831936421347
447,580.9985368982815
448,581.1451567242121
449,581.264831871311
450,581.3514100419887
451,581.4002253654052
452,581.4087022362693
453,581.376796674913
454,581.3072004912649
455,581.2052570481449
456,581.0785658358039
457,580.9362920187299
458,580.7882474165002
459,580.6438597750133
460,580.5111825860324
461,580.3961040552538
462,580.3018817230233
463,580.2290649654625
464,580.1757934212238
465,580.1383986282464
466,580.1122014635528
467,580.0923886252872
468,580.0748552897826
469,580.0569042733391
470,580.0376940992188
471,580.0183465402912
