	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt	C:\Users\Malinda Hapuarachchi\Documents\PhD\Study 1. Methods Study\Visual 3D Files\F05\F05_CTRL5_converted.txt
	FZsum	FZsum_1Hz	FZsum_2Hz	FZsum_3Hz	FZsum_4Hz	FZsum_5Hz	FZsum_6Hz	FZsum_7Hz	FZsum_8Hz	FZsum_9Hz	FZsum_10Hz	FZsum_11Hz	FZsum_12Hz	FZsum_13Hz	FZsum_14Hz	FZsum_15Hz	FZsum_20Hz	FZsum_25Hz	FZsum_30Hz	FZsum_35Hz	FZsum_40Hz	FZsum_45Hz	FZsum_50Hz	FZsum_60Hz	FZsum_70Hz	FZsum_80Hz	FZsum_90Hz	FZsum_100Hz	FZsum_125Hz	FZsum_150Hz	FZsum_175Hz	FZsum_200Hz
	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED
	PROCESSED	FILTER	FILTER	FILTER	FILTER	FILTER	FILTER	FILTER	FILTER	FILTER	FILTER	FILTER	FILTER	FILTER	FILTER	FILTER	FILTER	FILTER	FILTER	FILTER	FILTER	FILTER	FILTER	FILTER	FILTER	FILTER	FILTER	FILTER	FILTER	FILTER	FILTER	FILTER
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	543.484802	542.016174	543.973877	544.262329	544.331116	544.313660	544.326416	544.306702	544.322266	544.331299	544.336670	544.338745	544.335449	544.328064	544.318176	544.307678	544.216492	544.134460	544.077881	544.041321	544.023132	544.016724	544.019348	544.036011	544.051331	544.057617	544.055237	544.046875	544.011719	543.961548	543.896484	543.823608
2	544.000610	542.016479	543.973755	544.265076	544.337280	544.320862	544.333557	544.312927	544.327026	544.334839	544.339355	544.341187	544.337830	544.330688	544.321289	544.311401	544.223694	544.144104	544.088867	544.053040	544.035400	544.029236	544.031372	544.044373	544.052185	544.047424	544.031006	544.005798	543.921082	543.821411	543.717346	543.619812
3	542.782715	542.016724	543.973572	544.267761	544.343384	544.328003	544.340576	544.319092	544.331726	544.338318	544.342041	544.343628	544.340271	544.333496	544.324646	544.315491	544.231873	544.155396	544.101929	544.067139	544.050171	544.044312	544.046082	544.056519	544.059814	544.049377	544.026489	543.994202	543.892578	543.785767	543.689636	543.610840
4	543.995911	542.017029	543.973450	544.270508	544.349548	544.335205	544.347656	544.325317	544.336487	544.341858	544.344849	544.346191	544.342896	544.336609	544.328369	544.320007	544.241150	544.168396	544.117188	544.083740	544.067566	544.062195	544.063904	544.073364	544.075745	544.065735	544.044861	544.016052	543.930847	543.855164	543.804932	543.778687
5	544.010193	542.017273	543.973267	544.273193	544.355652	544.342346	544.354675	544.331482	544.341187	544.345337	544.347656	544.348755	544.345581	544.339844	544.332336	544.324829	544.251343	544.182861	544.134338	544.102539	544.087219	544.082458	544.084229	544.093811	544.098145	544.093262	544.080750	544.062988	544.015198	543.988220	543.994507	544.026184
6	544.697876	542.017578	543.973145	544.275940	544.361816	544.349548	544.361694	544.337708	544.345947	544.348877	544.350586	544.351440	544.348450	544.343323	544.336609	544.330078	544.262451	544.198792	544.153320	544.123291	544.108826	544.104492	544.106201	544.116089	544.123413	544.125671	544.124023	544.119934	544.112427	544.125244	544.165283	544.223572
7	544.526001	542.017883	543.973022	544.278687	544.367981	544.356750	544.368713	544.343933	544.350708	544.352417	544.353577	544.354187	544.351440	544.346985	544.341125	544.335632	544.274353	544.216003	544.173828	544.145630	544.131897	544.127625	544.128845	544.138245	544.147949	544.156799	544.165161	544.173218	544.195862	544.224548	544.259949	544.296753
8	544.506836	542.018127	543.972839	544.281372	544.374084	544.363892	544.375671	544.350098	544.355408	544.355896	544.356567	544.356934	544.354492	544.350708	544.345764	544.341431	544.286926	544.234314	544.195679	544.169312	544.156128	544.151489	544.151733	544.159363	544.169983	544.183533	544.199524	544.216675	544.258179	544.285339	544.293335	544.283020
